Movie,Character_ID,Line_Index,Dialogue,Character
Harry Potter and the Deathly Hallows: Part 1,SCRIMGEOUR_1,29,"These are dark times, there is no denying. Our world has perhaps faced no greater threat than it does today. But I say this to our citizenry: we, ever your servants, continue to defend your liberty and repel the forces that would seek to take it from you. Your Ministry remains strong...",SCRIMGEOUR
Harry Potter and the Deathly Hallows: Part 1,MRS. GRANGER_1,49,"Hermione. Your tea is ready, dear.",MRS. GRANGER
Harry Potter and the Deathly Hallows: Part 1,HERMIONE_1,57,"Coming, Mum. (CONTINUED)",HERMIONE
Harry Potter and the Deathly Hallows: Part 1,MRS. GRANGER_2,68,Don’t you look lovely. All packed?,MRS. GRANGER
Harry Potter and the Deathly Hallows: Part 1,MR. GRANGER_1,74,Are you sure these biscuits are sugar-free?,MR. GRANGER
Harry Potter and the Deathly Hallows: Part 1,MRS. GRANGER_3,77,"Quite sure, dear. See the big bold letters that say ‘Sugar Free’? Dead giveaway.",MRS. GRANGER
Harry Potter and the Deathly Hallows: Part 1,MR. GRANGER_2,81,"Mm. Yes. (passing Hermione) Hello, kitten. Don’t you look lovely.",MR. GRANGER
Harry Potter and the Deathly Hallows: Part 1,TELEVISION_1,89,... the bandicoot has small pointed ears and a long snout from which it emits a distinctive trumpet sound when agitated...,TELEVISION
Harry Potter and the Deathly Hallows: Part 1,MRS. GRANGER_4,94,"Darling, don’t be suspicious the biscuits taste so good, be grateful the company’s so clever...",MRS. GRANGER
Harry Potter and the Deathly Hallows: Part 1,HERMIONE_2,107,"Obliviate. Mrs. Granger’s face goes briefly slack and she reaches out, as if to break a fall, then, slowly, her hand drops, coming to rest upon her husband’s. He blinks once, blankly, and then... enfolds her fingers in his.",HERMIONE
Harry Potter and the Deathly Hallows: Part 1,HERMIONE_3,116,Goodbye.,HERMIONE
Harry Potter and the Deathly Hallows: Part 1,RON_1,133,"What are those? Mr. Weasley turns, sees Ron standing in the doorway.",RON
Harry Potter and the Deathly Hallows: Part 1,ARTHUR WEASLEY_1,136,Close the door.,ARTHUR WEASLEY
Harry Potter and the Deathly Hallows: Part 1,RADIO_1,144,"... comes to us this evening from the north of England, where a wizard family by the name of Westinburgh were found dead in their cellar. While not a member of the Order, Mr. Westinburgh and his wife had, on numerous occasions, provided shelter for its members...",RADIO
Harry Potter and the Deathly Hallows: Part 1,ARTHUR WEASLEY_2,155,"These are for the Order. So many are on the run now, it helps them to stay connected with the rest of us. Know they’re not alone...",ARTHUR WEASLEY
Harry Potter and the Deathly Hallows: Part 1,RON_2,163,C’mon. Mum’s got dinner ready.,RON
Harry Potter and the Deathly Hallows: Part 1,VOLDEMORT_1,205,"Severus. I was beginning to worry you’d lost your way. Come. I’ve saved you a seat. VOLDEMORT grins, silhouetted against the fire, and gestures to the seat nearest his own. All eyes follow Snape, all except DRACO MALFOY, who nervously stares at the body above and a haggard LUCIUS MALFOY, who merely stares vaguely at his wand while his wife NARCISSA looks straight ahead.",VOLDEMORT
Harry Potter and the Deathly Hallows: Part 1,VOLDEMORT_2,215,"You know our hosts, of course, Severus. Narcissa in particular has been most hospitable. Lucius, on the other hand, is, I fear, burdened by my presence. Are you, Lucius?",VOLDEMORT
