Movie,Character_ID,Line_Index,Dialogue,Character
Deathly Hallows: Part 1,HERMIONE_1,57,"Coming, Mum. HARRY POTTER AND THE DEATHLY... - PT. 1 - Rev. 6/11/10 2. 3 CONTINUED: 3 Her mother’s SHADOW withdraws, leaving only the trembling tree. Hermione glances once more at the Prophet’s troubling headline, then slips it into a TINY BEADED BAG. 4 INT. PARLOR - LATE AFTERNOON (MOMENTS LATER, RAINING) 4 As Hermione descends the stairs, MRS. GRANGER exits the kitchen with a teapot.",HERMIONE
Deathly Hallows: Part 1,HERMIONE_2,107,"Obliviate. Mrs. Granger’s face goes briefly slack and she reaches out, as if to break a fall, then, slowly, her hand drops, coming to rest upon her husband’s. He blinks once, blankly, and then... enfolds her fingers in his. Hermione lowers her arm and, eyes stinging with tears, watches the PHOTOGRAPHS placed about the room begin to CHANGE. One by one, Hermione DISAPPEARS from each.",HERMIONE
Deathly Hallows: Part 1,HERMIONE_3,116,"Goodbye. 5 EXT. STREET - LATE AFTERNOON (MOMENTS LATER, RAINING) 5 Clutching the beaded bag, Hermione moves down the windswept street into the dying light. We BOOM UP TO the sky, HOLD briefly, then BOOM DOWN TO... 6 EXT. FRONT YARD (THE BURROW) - DUSK 6 ... RON, staring at the stars. He drops his gaze to the house, studies GINNY and MRS. WEASLEY, aglow in the light of the kitchen, watching them with affection, as if committing them to memory. His gaze shifts to the adjacent SHED. Inside, ARTHUR WEASLEY is bent over his workbench. 7 INT. SHED - DUSK (MOMENTS LATER) 7 Mr. Weasley fiddles with a SMALL RADIO. Another half- dozen -- in various stages of repair -- stand in a line before him.",HERMIONE
Deathly Hallows: Part 1,RON_1,133,"What are those? Mr. Weasley turns, sees Ron standing in the doorway.",RON
Deathly Hallows: Part 1,RON_2,163,"C’mon. Mum’s got dinner ready. Arthur nods, pushes away from the bench and heads out the door. Ron lingers briefly, studying the radio, then follows his father into the night. We FADE. The TITLE CARD appears... and we -- DISSOLVE TO: 8 EXT. NIGHT SKY 8 A scarlet moon. A speck -- a nightbird, or a bat -- framed in the moon’s surface, approaches rapidly, then -- WHOOSH! -- passes beneath. Far below, a sea of treetops shift eerily. 9 EXT. MALFOY MANOR - NIGHT (MOMENTS LATER) 9 We PLUMMET THROUGH the shifting trees TO a narrow moonlit lane. A SHADOW ripples across the ground like a kite made of water. A BOOT touches down upon the graveled lane, then another. A cape flutters slowly down upon the shoulders of a wizard, lank hair splayed across his wind- blown collar. His head turns. Moonlight strikes his pale face. SNAPE. Moving. Up a wide drive, to a pair of wrought iron gates. Beyond, a large manor that has seen better days. A RUSTLING sounds. Snape wheels, draws his wand. HARRY POTTER AND THE DEATHLY... - PT. 1 - Rev. 6/11/10 5. 9 CONTINUED: 9 A PEACOCK, white as a ghost, emerges from the yew. Snape eyes it warily, then lifts his hand. The iron gates turn to smoke. 10 INT. MALFOY MANOR - ENTRYWAY - NIGHT (MOMENTS LATER) 10 Fractured in the prism of a diamond-paned window, Snape approaches. The front door glides open. As he enters, dark eyes in torch-lit portraits track him from above. 11 INT. HALLWAY - NIGHT (MOMENTS LATER) 11 A door looms at the end of a hallway. Reaching it, Snape hesitates for a heartbeat, then enters. 12 INT. DRAWING ROOM - SAME TIME - NIGHT 12 Two dozen figures sit silently at a large ornate table, illuminated by the flickering light of a fireplace. Snape studies the scene, then his eyes rise. Revolving slowly near the ceiling, as if suspended by an invisible rope, is an unconscious WOMAN (CHARITY BURBAGE).",RON
Deathly Hallows: Part 1,SNAPE_1,236,It will happen Saturday next. At nightfall.,SNAPE
Deathly Hallows: Part 1,SNAPE_2,241,"-- from the source we discussed. Yaxley, the wizard seen at the Ministry, leans into the flickering light from the opposite end of the table.",SNAPE
Deathly Hallows: Part 1,SNAPE_3,252,This is a false trail. The Auror Office no longer plays any part in the protection of Harry Potter. Those closest to him believe we have infiltrated the Ministry.,SNAPE
Deathly Hallows: Part 1,SNAPE_4,278,"To a safehouse. Likely the home of someone in the Order. I’m told it has been given every manner of protection possible. Once there, it will be impractical to attack him. We may have compromised the Ministry, but there are those who remain loyal to him. As long as the Ministry stands, his allies within will have the means at their disposal to insure his safety.",SNAPE
Deathly Hallows: Part 1,HERMIONE_4,617,(a sigh) I told you he’d take it well.,HERMIONE
Deathly Hallows: Part 1,RON_3,623,"Never done that before, have we?",RON
Deathly Hallows: Part 1,RON_4,704,(smirking) I knew Ginny was lying about that tattoo. HARRY POTTER AND THE DEATHLY... - PT. 1 - Rev. 6/11/10 16. 21 CONTINUED: (6) 21,RON
Deathly Hallows: Part 1,HERMIONE_5,711,"(wobbling a bit) Harry, your eyesight really is awful.",HERMIONE
Deathly Hallows: Part 1,RON_5,983,Hey ya -- Well... thanks.,RON
Deathly Hallows: Part 1,HERMIONE_6,989,Really?,HERMIONE
Deathly Hallows: Part 1,RON_6,991,(breaking free of her) Always the tone of surprise.,RON
Deathly Hallows: Part 1,RON_7,1122,"Going somewhere? Harry stiffens, turns to meet Ron’s accusatory gaze, then continues on.",RON
Deathly Hallows: Part 1,RON_8,1129,"For you? You think Madeye died for you? You think George took that curse for you? You may be the Chosen One, mate, but this is a whole lot bigger than that. Harry stares at Ron. The air is tense.",RON
Deathly Hallows: Part 1,RON_9,1138,And leave Hermione? Are you mad? We wouldn’t last two days without her. (MORE) HARRY POTTER AND THE DEATHLY... - PT. 1 - Rev. 6/11/10 26A. 35B CONTINUED: 35B,RON
Deathly Hallows: Part 1,RON_10,1146,"(glancing around) Don’t tell her I said that. (back to Harry) Besides, you’ve still got the Trace on you. And there’s the wedding...",RON
Deathly Hallows: Part 1,RON_11,1155,"Bill and Fleur. Mum’s been planning it for months. Only thing that’s kept her sane, I reckon. She’ll kill me if I miss it. Kill you too. Rather go face to face with You-Know-Who if I’m honest. Ron tries a smile, but Harry looks foul.",RON
