Movie,Character_ID,Line_Index,Dialogue,Character
Deathly Hallows: Part 1,HERMIONE_135,4181,"Harry, I’m not sure about this.",HERMIONE
Deathly Hallows: Part 1,RON_25,1739,"You’re amazing, you are.",RON
Deathly Hallows: Part 1,HERMIONE_127,4085,"Lumos. Hermione plays the wand’s light over the surface of the stone, then stops. Though deeply worn by time, the symbol is unmistakable: the TRIANGULAR EYE. Hermione rakes the light over the name: IGNOTUS PEVERELL.",HERMIONE
Deathly Hallows: Part 1,HERMIONE_109,3836,"What? Ron, no -- please -- He whips aside the tent flap and the RAIN ROARS. As Hermione rushes after him, she tips over the radio. As it HISSES Harry glowers at the Horcrux. Seconds later, Hermione returns, sopping hair plastered to her face.",HERMIONE
Deathly Hallows: Part 1,RON_32,1844,"Suppose it’s him that did Mad-Eye. How would you feel then? Hermione looks at Dolohov. The moment hangs, then: HARRY POTTER AND THE DEATHLY... - PT. 1 - Rev. 6/11/10 41. 43 CONTINUED: (3) 43",RON
Deathly Hallows: Part 1,RON_73,3743,"Yeah, I thought I did too.",RON
Deathly Hallows: Part 1,RON_6,991,(breaking free of her) Always the tone of surprise.,RON
Deathly Hallows: Part 1,RON_33,1855,"You’re the boss. (turning to Hermione) Hermione? She turns, looks at him. He reaches out, wipes a trickle of blood from her cheek.",RON
Deathly Hallows: Part 1,HERMIONE_77,3350,Don’t -- It... comforts him.,HERMIONE
Deathly Hallows: Part 1,HERMIONE_86,3465,"He could smell it. My perfume. 104 EXT. TENT - SAME TIME - NIGHT 104 Ron pushes past the tent flap, peers into the darkness. In the distance, he sees Harry and Hermione. Standing close. 105 EXT. TREES - SAME TIME - NIGHT (ALT) 105 Hermione hugs herself. Shivers.",HERMIONE
Deathly Hallows: Part 1,HERMIONE_46,2360,"Stop lying! Hermione begins to move toward Mundungus. Ron reaches out, takes her by the shoulders, eyes Mundungus warningly.",HERMIONE
