Movie,Character_ID,Line_Index,Dialogue,Character
Harry Potter and the Deathly Hallows: Part 1,XENOPHILIUS LOVEGOOD_25,5517,"Stop! I’ve got him -- Lovegood is blasted off his feet by a Stunning Spell so great the chain around his neck flies across the room and settles at Harry’s feet. Harry glances down, watches the symbol of the Deathly Hallows dissolve like mercury, then looks up, sees Lovegood streak out the door.",XENOPHILIUS LOVEGOOD
Harry Potter and the Deathly Hallows: Part 1,HERMIONE_52,3044,Unstopper it.,HERMIONE
Harry Potter and the Deathly Hallows: Part 1,HERMIONE_38,2121,"Yes. Question is, did he actually destroy the real Horcrux?",HERMIONE
Harry Potter and the Deathly Hallows: Part 1,HARRY_209,4819,Hermione! (CONTINUED),HARRY
Harry Potter and the Deathly Hallows: Part 1,HERMIONE_173,5052,It keeps cropping up. Here. In Beedle the Bard. In the graveyard in Godric’s Hollow -- what? (CONTINUED),HERMIONE
Harry Potter and the Deathly Hallows: Part 1,XENOPHILIUS LOVEGOOD_16,5374,The Resurrection Stone... ... then encloses both in a TRIANGLE.,XENOPHILIUS LOVEGOOD
Harry Potter and the Deathly Hallows: Part 1,RON_59,3514,I’m hungry.,RON
Harry Potter and the Deathly Hallows: Part 1,HARRY_51,1648,Godric’s Hollow? Bathilda Bagshot lives in Godric’s Hollow?,HARRY
Harry Potter and the Deathly Hallows: Part 1,HARRY_243,5730,What did you put on me?,HARRY
Harry Potter and the Deathly Hallows: Part 1,HARRY_119,3640,(alarmed) What?,HARRY
Harry Potter and the Deathly Hallows: Part 1,HERMIONE_90,3601,I want to go.,HERMIONE
Harry Potter and the Deathly Hallows: Part 1,HERMIONE_204,5736,Not long.,HERMIONE
Harry Potter and the Deathly Hallows: Part 1,HARRY_6,499,"(under his breath) See you, Big D.",HARRY
Harry Potter and the Deathly Hallows: Part 1,SHACKLEBOLT_2,962,The last words Albus Dumbledore spoke to the pair of us?,SHACKLEBOLT
Harry Potter and the Deathly Hallows: Part 1,RON_32,1861,"You’re the best with spells. Shakily, she points her wand at Dolohov. Her arm trembles.",RON
Harry Potter and the Deathly Hallows: Part 1,HERMIONE_121,4049,Yeah. I think they would.,HERMIONE
Harry Potter and the Deathly Hallows: Part 1,VOLDEMORT_7,273,"Spoken like a true politician. You will, I think, prove most useful, Pius. Where will he be taken? The boy?",VOLDEMORT
Harry Potter and the Deathly Hallows: Part 1,HERMIONE_48,2940,"Relashio! The chains encircling Mary Cattermole’s wrists drop like dead snakes. As she stands, she eyes Harry in amazement as he transforms back into himself. (CONTINUED)",HERMIONE
Harry Potter and the Deathly Hallows: Part 1,HARRY_194,4673,"(shaking his head) But I reckon whoever cast the doe, put the sword in that pool hoping we’d find it.",HARRY
Harry Potter and the Deathly Hallows: Part 1,HARRY_120,3646,Maybe you could tell me now.,HARRY
Harry Potter and the Deathly Hallows: Part 1,HARRY_59,1824,"Lock the door, get the lights.",HARRY
Harry Potter and the Deathly Hallows: Part 1,SCRIMGEOUR_7,1342,"‘Herein is set forth the Last Will and Testament of Albus Percival Wulfric Brian Dumbledore. First, to Ronald Bilius Weasley, I leave my Deluminator, a device of my own making, in the hope that -- when things seem most dark -- it will show him the light.’",SCRIMGEOUR
Harry Potter and the Deathly Hallows: Part 1,HARRY_43,1532,"I never even knew he had a brother, sir.",HARRY
Harry Potter and the Deathly Hallows: Part 1,HERMIONE_61,3114,"He’ll be alright in a few days. Hopefully. If we could take him to Hogwarts, to Madam Pomfrey -- Harry’s glance stops her, confirming what she knows.",HERMIONE
Harry Potter and the Deathly Hallows: Part 1,VOLDEMORT_21,3254,"Tell me, Gregorovitch. Tell me where it is...",VOLDEMORT
Harry Potter and the Deathly Hallows: Part 1,HARRY_122,3658,O-kay.,HARRY
Harry Potter and the Deathly Hallows: Part 1,HARRY_74,2156,"That’s right. But there were two, weren’t there? Kreacher’s eyes widen in surprise. He nods again.",HARRY
Harry Potter and the Deathly Hallows: Part 1,HARRY_172,4420,"Who is he, Hermione? The thief? Did Dumbledore know him?",HARRY
Harry Potter and the Deathly Hallows: Part 1,HERMIONE_145,4380,"The Forest of Dean. I came here once with my mum and dad, years ago. It’s just how I remember it. The trees. The river. It’s like nothing’s changed. Not true, of course. Everything’s changed. If I brought my parents here, they wouldn’t recognize any of it. Not the trees. Not the river. Not... me.",HERMIONE
Harry Potter and the Deathly Hallows: Part 1,RON_30,1844,Suppose it’s him that did Mad-Eye. How would you feel then?,RON
Harry Potter and the Deathly Hallows: Part 1,LUCIUS_2,345,"Yes, my lord.",LUCIUS
Harry Potter and the Deathly Hallows: Part 1,RON_74,3793,"Do you know why I listen to that radio, every night? Do you! To make sure I don’t hear Ginny’s name or Fred or George or Mum or --",RON
Harry Potter and the Deathly Hallows: Part 1,SCRIMGEOUR_9,1382,"‘To Harry James Potter, I leave the Snitch he caught in his first Quidditch match at Hogwarts, as a reminder of the rewards of perseverance and skill.",SCRIMGEOUR
Harry Potter and the Deathly Hallows: Part 1,HARRY_153,4127,C’mon.,HARRY
Harry Potter and the Deathly Hallows: Part 1,HERMIONE_39,2141,Maybe he knows.,HERMIONE
Harry Potter and the Deathly Hallows: Part 1,BATHILDA BAGSHOT_1,4279,(in Parseltongue) You are Potter?,BATHILDA BAGSHOT
Harry Potter and the Deathly Hallows: Part 1,RON_84,4671,Anything?,RON
Harry Potter and the Deathly Hallows: Part 1,VOLDEMORT_5,239,And this information comes --,VOLDEMORT
Harry Potter and the Deathly Hallows: Part 1,HERMIONE_36,2091,Lovely.,HERMIONE
Harry Potter and the Deathly Hallows: Part 1,HERMIONE_85,3476,I told you. Ron’s not strong enough to Apparate.,HERMIONE
Harry Potter and the Deathly Hallows: Part 1,SCRIMGEOUR_8,1364,"‘To Miss Hermione Jean Granger, I leave my copy of The Tales of Beedle the Bard, in the hope that she will find it entertaining and instructive.’",SCRIMGEOUR
Harry Potter and the Deathly Hallows: Part 1,HERMIONE_43,2288,"(nodding) When Scrimgeour first gave it to you, I thought it might open at your touch -- that Dumbledore had hidden something in it.",HERMIONE
Harry Potter and the Deathly Hallows: Part 1,HARRY_4,483,"Absolutely not. Besides, I’m just a waste of space. Isn’t that right, Vernon? Uncle Vernon stares hard at Harry.",HARRY
Harry Potter and the Deathly Hallows: Part 1,HARRY_11,615,No! Absolutely not!,HARRY
Harry Potter and the Deathly Hallows: Part 1,HERMIONE_166,4890,See me doing what things?,HERMIONE
Harry Potter and the Deathly Hallows: Part 1,XENOPHILIUS LOVEGOOD_1,1489,Gnome saliva is enormously beneficial! Xenophilius Lovegood. We live just over the hill!,XENOPHILIUS LOVEGOOD
Harry Potter and the Deathly Hallows: Part 1,HARRY_63,1891,Hermione. I appreciate the thought -- honestly. But given that we were almost killed by a couple of Death Eaters a few minutes ago...,HARRY
