movie,character,speech_id,text
goblet_of_fire,VOLDEMORT,5,"NO! The boy is everything, it cannot"
goblet_of_fire,VOLDEMORT,7,"Good. First, gather our old comrades."
goblet_of_fire,VOLDEMORT,8,Nagini tells me the old caretaker is standing outside the door.
goblet_of_fire,VOLDEMORT,9,Step aside so I can give our guest a proper greeting.
goblet_of_fire,HERMIONE,11,Are you alright?
goblet_of_fire,HERMIONE,13,Just now. You?
goblet_of_fire,HERMIONE,15,Wake up. Wake up Ronald!
goblet_of_fire,HERMIONE,17,"Honestly. Get dressed, and don't go back to sleep. Come on Ron! Your mother says breakfast's ready."
goblet_of_fire,RON,20,Don't know. Hey Dad! Where are we going?
goblet_of_fire,RON,52,"Blimey Dad, how far up ARE we?"
goblet_of_fire,RON,63,There's no one like Krum. He's like
goblet_of_fire,RON,69,Been looking for you for ages. Thought we lost you.
goblet_of_fire,RON,87,Packet of drewbals and a liquorice wand.
goblet_of_fire,RON,88,"On second thought, just the drewbals."
goblet_of_fire,RON,90,"Just the drewbals, thanks."
goblet_of_fire,HERMIONE,95,"This is horrible, how can the ministry not know who conjured it. Isn't there any security or?"
goblet_of_fire,RON,96,"Loads according to Dad, that's what"
goblet_of_fire,HERMIONE,97,"It's hurting again isn't it, your scar."
goblet_of_fire,HERMIONE,99,"You know Sirius will want to hear about this. What you saw at the world cup, and the dream."
goblet_of_fire,RON,116,"Bloody hell, it's Mad-Eye Moody."
goblet_of_fire,RON,127,"Well, my dad did tell me about one... The imperious curse."
goblet_of_fire,HERMIONE,129,Stop it! Can't you see it's bothering
goblet_of_fire,HERMIONE,130,"There's a reason those curses are unforgivable,"
goblet_of_fire,RON,132,"Eternal glory, be brilliant wouldn't it? In three years from now we'll be"
goblet_of_fire,HERMIONE,136,It's not going to work.
goblet_of_fire,HERMIONE,138,You see this? This is an age line. Dumbledore drew it himself.
goblet_of_fire,HERMIONE,140,So a genius like Dumbledore couldn't possibly be fooled by something pathetically dimwitted such as an age potion.
goblet_of_fire,HERMIONE,151,Go on Harry. Harry for goodness sake.
goblet_of_fire,RON,168,How did you do it?
goblet_of_fire,RON,169,Never mind. Doesn't matter. You could have let your best friend know though.
goblet_of_fire,RON,171,You know bloody well what.
goblet_of_fire,RON,173,"Yeah that's me, Ron Weasley... Harry Potter's stupid friend."
goblet_of_fire,RON,210,Who you talking to?
goblet_of_fire,RON,212,I heard voices.
goblet_of_fire,RON,214,You're probably just practicing for your next interview I expect.
goblet_of_fire,HERMIONE,220,Ronald would like me to tell you that
goblet_of_fire,HERMIONE,223,Dean was told by Parvati that... Please don't ask me say it again. Hagrid's looking for you.
goblet_of_fire,HERMIONE,225,I'm NOT an owl!
goblet_of_fire,RON,252,You think so?
goblet_of_fire,HERMIONE,268,Pssst! Harry? Is that you?
goblet_of_fire,HERMIONE,270,How are you feeling? OK? The key is to concentrate. After that you just have to...
goblet_of_fire,HERMIONE,276,Oh um.. Sorry I'll just go.
goblet_of_fire,HERMIONE,287,Your wand harry! Your wand!
goblet_of_fire,RON,298,I reckon you'd have to be barking mad to put your own name in the goblet of fire.
goblet_of_fire,RON,300,Wasn't just me who thought you'd done it. Everyone was saying it behind your back.
goblet_of_fire,RON,302,At least I warned you about the dragons.
goblet_of_fire,RON,303,"Oh no no, I did. Don't you remember? I told Hermione to tell you that Seamus told me that Parvati told Dean that"
goblet_of_fire,RON,305,Yeah it is isn't it. Suppose I was a bit distraught.
goblet_of_fire,RON,308,Thank you Nigel.
goblet_of_fire,RON,309,Not now Nigel. Later. Go on.
goblet_of_fire,RON,310,I told him I'd get him Harry's autograph. Oh look mum's sent me something. Mum sent me a dress??
goblet_of_fire,RON,313,What are you on about?
goblet_of_fire,HERMIONE,314,They're not for Ginny they're for you! Dress robes.
goblet_of_fire,RON,315,Dress robes? for what?
goblet_of_fire,RON,327,"Blimey Harry, you slayed dragons. If you can't get a date who can?"
goblet_of_fire,RON,332,This is mad. At this rate we'll be the only ones in our year without dates.
goblet_of_fire,RON,333,"Well, us and Neville!"
goblet_of_fire,HERMIONE,334,It might interest you to know that Neville's already got someone.
goblet_of_fire,RON,335,Now I'm really depressed.
goblet_of_fire,RON,336,"Well Hermione, you're a girl."
goblet_of_fire,HERMIONE,337,Oh well spotted.
goblet_of_fire,RON,338,Come on. It's one thing for a bloke to show up alone. For a girl it's just sad.
goblet_of_fire,HERMIONE,339,I won't be going alone because believe it or not someone's asked me. And I said yes.
goblet_of_fire,RON,341,"Look. We've just got to grit our teeth and do it. Tonight when we get back to the common room, we'll both have partners. Agreed?"
goblet_of_fire,HERMIONE,355,No of course.
goblet_of_fire,RON,357,"There she was walking by. You know I like it when they walk. I couldn't help it, it just sort of slipped out."
goblet_of_fire,RON,359,What else? I ran for it. I'm not cut out for this Harry. I don't know what got into me.
goblet_of_fire,RON,364,What are those??
goblet_of_fire,RON,366,"Well they're alright. No lace, no dodgy little collar."
goblet_of_fire,RON,368,Traditional?? They're ancient! I look like my great aunt Tessie.
goblet_of_fire,RON,369,I smell like my great aunt Tessie. Murder me Harry.
