character	speech_id	text
DARKNESS.	1	THUNDER -- or something like it -- sounds in the distance. BOOM. Then again. BOOM. We GLIDE THROUGH the inky blackness. Ambient flashes illuminate the silhouette of the WB LOGO. We PASS
THROUGH.	2	INTO more darkness. Lost. More FLASHES. And we -- CUT TO:
A SINGLE EYE	3	Blank behind glasses. FLASH! The PUPIL CONTRACTS and we -- CUT TO:
THE STORM	4	itself and... ... PLUMMET, London expanding, stretching out on all sides. We SWEEP madly OVER Charing Cross, leaving the Muggle world behind and SWOOP INTO...
BELLATRIX	5	Narcissa!
BELLATRIX	6	Cissy! You mustn’t do this. He can’t be trusted.
BELLATRIX	7	Or so I believe.
NARCISSA	8	Well, who can one trust these days?
SNAPE	9	Run along, Wormtail.
NARCISSA	10	I’ve nowhere else to turn, Severus.
BELLATRIX	11	You must be joking.
NARCISSA	12	I know I ought not to be here.
SNAPE	13	If the Dark Lord has forbidden it, you ought not to speak.
SNAPE	14	As it so happens I’m aware of your situation, Narcissa.
BELLATRIX	15	You? The Dark Lord told you?
SNAPE	16	Your sister doubts me, Narcissa. Understandable.
NARCISSA	17	I... I don’t doubt you, Severus.
BELLATRIX	18	You should feel honored, Cissy. As should Draco --
SNAPE	19	I can’t change the Dark Lord’s mind. But it might be possible for me to help Draco. To provide some... protection.
NARCISSA	20	Do you mean it, Severus?
SNAPE	21	I can try.
NARCISSA	22	Oh, Severus, please, if you would... (I would be forever in * your debt.) *
BELLATRIX	23	Swear to it. Snape’s eyes shift, meet Bellatrix’s challenging gaze.
BELLATRIX	24	Make the Unbreakable Vow.
SNAPE	25	Take out your wand.
BELLATRIX	26	Will you, Severus Snape, watch
SNAPE	27	I will.
BELLATRIX	28	And will you, to the best of your
SNAPE	29	I will.
BELLATRIX	30	And should it prove necessary, if it seems Draco will fail... will you yourself carry out the deed that the Dark Lord has ordered Draco to perform? Snape’s hand TWITCHES within Narcissa’s. Bellatrix waits.
SNAPE	31	I will.
HARRY	32	Oh. Um. No one. Bit of a tosser.
WAITRESS	33	Funny that paper of yours. Couple nights ago, I could swear I saw one of the pictures move.
HARRY	34	Really.
WAITRESS	35	Thought I’d gone round the twist.
HARRY	36	Hey. I was wondering...
WAITRESS	37	Eleven. That’s when I get off.
DUMBLEDORE	38	I once knew a Muggle girl from Liverpool with hair like spun silk. No light could resist it...
HARRY	39	I like riding round on the trains. It takes my mind off... things. Harry hesitates, notices Dumbledore’s hand is ASH BLACK.
DUMBLEDORE	40	Rather unpleasant to behold, isn’t it? The tale is thrilling if I do say so myself, but I’m afraid now is not the time to tell it. Take my arm.
HARRY	41	I just Apparated, didn’t I?
DUMBLEDORE	42	Indeed. And quite successfully I might add. Most people vomit
HARRY	43	Can’t imagine why...
DUMBLEDORE	44	Welcome to the charming village of Budleigh Babberton, Harry. I assume right about now you’re wondering why I’ve brought you here, am I right?
DUMBLEDORE	45	Wand out, Harry.
DUMBLEDORE	46	Lumos...
DUMBLEDORE	47	Horace!
ARMCHAIR	48	Merlin’s Beard! Instantly, the Armchair mutates into HUMAN FORM, though briefly gets caught inbetween. After a bit of GRUMBLING, SEAM-SPLITTING and the POPPING of a cushion button or two, a FAT OLD MAN (HORACE SLUGHORN) in a pair of WELL- WORN lilac pajamas appears.
DUMBLEDORE	49	I must say, you make a very convincing armchair, Horace.
SLUGHORN	50	It’s all in the upholstery.
SLUGHORN	51	Yes, well, I couldn’t very well use wizard’s blood, could I? Oho!
DUMBLEDORE	52	Ah yes. Introductions. Harry, this is an old friend and colleague of mine, Horace Slughorn. Horace, this is, well, you know who this is.
DUMBLEDORE	53	So why all the theatrics, Horace? You weren’t perhaps expecting someone else, were you?
SLUGHORN	54	Oh all right! The Death Eaters have been trying to recruit me for over a year. Do you know what that’s like? One can only say no to these people so many times
SLUGHORN	55	I never stay anywhere more than a week. The Muggles who own this place are in the Canary Islands.
DUMBLEDORE	56	Well, I think it should be put
DUMBLEDORE	57	That was fun. May I use the loo? As Dumbledore heads down the hall, Slughorn calls after.
SLUGHORN	58	Don’t think I don’t know why you’re here, Albus! The answer is still no! Absolutely, unequivocally no!
SLUGHORN	59	You look very like your father. Except for your eyes. You’ve got --
HARRY	60	My mother’s eyes, yeah.
HARRY	61	One of my best friends is Muggle- born. She’s the best in our year.
SLUGHORN	62	Oh, but you mustn’t think I’m prejudiced! No, no, no! Your mother was one of my absolute
SLUGHORN	63	All mine, each and every one. Ex- students, I mean. You recognize Barnubas Cuffe, of course, editor of the Daily Prophet.
SLUGHORN	64	Ah yes. Regulus Black. You no
DUMBLEDORE	65	Mind if I take this? I do love knitting patterns.
SLUGHORN	66	Of course. But you’re not leaving?
DUMBLEDORE	67	I think I know a lost cause when I see one. Regrettable. I would have considered it a personal triumph had you consented to return to Hogwarts, Horace. You are, like my friend Mr. Potter -- one of a kind.
SLUGHORN	68	All right! I’ll do it. But I’ll be wanting Professor Merrythought’s old office, not that water closet I had formerly. And I expect a raise! These are mad times we live in! Mad!
HARRY	69	Sir, exactly what was that all --
DUMBLEDORE	70	You are talented, famous and powerful -- everything Horace values. Professor Slughorn is going to try to collect you, Harry. You would be his crowning
DUMBLEDORE	71	I fear I may have stolen a wondrous night from you, Harry.
HARRY	72	It’s alright, sir. I’ll go back tomorrow, make some excuse --
DUMBLEDORE	73	You’ll not be going back to Little Whinging tonight, Harry.
HARRY	74	But, sir. What about Hedwig? And there’s my trunk --
DUMBLEDORE	75	Both are waiting for you.
HARRY	76	Sir?
GINNY	77	Hedwig...? Mum!
MRS. WEASLEY	78	What is it, Ginny? Is it your father? Has something happened at
GINNY	79	Exactly. How’d you guess?
GINNY	80	I’m joking, Mum.
MRS. WEASLEY	81	You’re worse than Fred and George.
GINNY	82	Now you’re joking. I was only wondering when Harry got here.
MRS. WEASLEY	83	I think I’d know if Harry Potter was in my house, wouldn’t I?
MRS. WEASLEY	84	I seriously doubt that. Just then, HEDWIG SCREECHES O.S. Ginny gives her an I- told-you-so when another door opens and RON WEASLEY looks down.
RON	85	Harry? Did someone say Harry?
RON	86	‘Course not. Think I’d know if my best friend was in my room, wouldn’t I?
HERMIONE	87	Was that an owl I heard?
HERMIONE	88	Really?
MRS. WEASLEY	89	But why didn’t you tell us you were coming?
HARRY	90	Didn’t know.
MRS. WEASLEY	91	That man. But then, what would we
RON	92	You’ve a bit of...
HARRY	93	When’d you get here?
RON	94	Mum sort of lost it last week. Said Ginny and I had no business going back to Hogwarts. That it’s too dangerous.
HARRY	95	Oh come on...
HERMIONE	96	She’s not alone. Even my parents
HARRY	97	But we’re talking about Hogwarts. Dumbledore. What could be safer?
HERMIONE	98	There’s been a lot of chatter
GEORGE	99	We’ve got Fainting Fancy...
FRED	100	Nosebleed Nougats...
GEORGE	101	And just in time for school...
FRED	102	Puking Pastilles!
FRED	103	What’d you think, Harry?
HARRY	104	Amazing.
GEORGE	105	Bloody urchins.
HARRY	106	Peruvian Instant Darkness Powder?
FRED	107	Handy if you need to make a quick escape. Hello, ladies!
FRED	108	Then again, the way we hear it, sis, you’re doing just fine on your own.
GINNY	109	Meaning?
FRED	110	Are you not currently dating Dean Thomas?
GINNY	111	None of your business.
HERMIONE	112	These are adorable. Inside a cage, small round BALLS of FLUFF roll about,
RON	113	How much for this?
RON	114	How much for me? FRED/GEORGE Five Galleons.
RON	115	But I’m your brother! FRED/GEORGE Ten Galleons.
RON	116	C’mon. Let’s go.
LAVENDER BROWN	117	Hi, Ron.
RON	118	Hi.
HERMIONE	119	How is it Fred and George are doing it? Half the alley’s closed down.
HERMIONE	120	Oh no. Look.
HARRY	121	Good. Bad. Speaking of which... Across the avenue, DRACO MALFOY and Narcissa pause, glance around, then slip quickly down an alley.
RON	122	Is it just me? Or do Draco and mummy look like two people who don’t want to be followed?
HARRY	123	Dunno. Let’s get closer.
HARRY	124	I don’t know. I’m turned around.
HERMIONE	125	Bloody hell.
RON	126	Sorry. Just then, the cauldron EXPLODES with light. Instantly,
HARRY	127	What just happened?
HERMIONE	128	I don’t know.
LUNA	129	Quibbler...? Quibbler...?
LUNA	130	There’s an article on Wrackspurts this month. Quibbler...?
GINNY	131	Please. What’s a Wrackspurt?
HARRY	132	Don’t you see, it was a ceremony. An initiation.
HERMIONE	133	Stop, Harry, I know where you’re going with this --
RON	134	One of what?
RON	135	You’re barking. What would You- Know-Who want with a sod like Malfoy?
HERMIONE	136	I told you. I don’t know what I saw.
HARRY	137	I need some air.
MALFOY	138	What just happened? Blaise?
PANSY	139	Relax, boys. The lights went out is all. Come, Draco. We’ll be * at Hogwarts before you know it. *
MALFOY	140	Hogwarts. What a pathetic excuse for a school. I think I’d pitch myself off the Astronomy Tower if I thought I had to continue on for
PANSY	141	What’s that supposed to mean?
MALFOY	142	Let’s just say I don’t think you’ll be seeing me wasting my time in Charms Class next year. Confused, Pansy glances at Blaise, who snorts derisively.
MALFOY	143	Amused, Blaise? We’ll see just who’s laughing in the end.
HERMIONE	144	Where’s Harry?
RON	145	Probably on the platform. C’mon.
MALFOY	146	You two go on. I want to check something. Malfoy slides shut the door. LETS THE BLINDS DOWN. A beat.
MALFOY	147	Didn’t mummy ever tell you it’s bad manners to eavesdrop, Potter? Petrificus Totalus!
MALFOY	148	Oh, right, she was dead before you could wipe the drool off your chin.
MALFOY	149	Enjoy the ride back to London.
LUNA	150	Hello, Harry.
HARRY	151	Luna. How’d you...?
LUNA	152	Wrackspurts. Your head’s full of
HARRY	153	Sorry I made you miss the carriages, Luna.
LUNA	154	It’s alright. I enjoyed our walk. It was like being with a friend.
HARRY	155	I am your friend, Luna.
LUNA	156	That’s nice. Just then PROFESSOR FLITWICK rushes forth clutching a long roll of PARCHMENT bearing all students’ names.
FLITWICK	157	About time! I’ve been looking all over for you two. Names.
HARRY	158	Professor Flitwick, you’ve known me for five years.
FLITWICK	159	No exceptions, Potter.
LUNA	160	Who are those people?
FLITWICK	161	Aurors. For security.
FILCH	162	And what exactly would you be wanting with a walking stick?
MALFOY	163	Is my father’s. He’s not dead.
SNAPE	164	It’s alright, Mr. Filch. I can vouch for Mr. Malfoy. Draco eyes Snape warily again, then begins to slouch off, catches Harry looking.
MALFOY	165	Nice face, Potter.
LUNA	166	Would you like me to fix it? Personally I think you look a bit more devil-may-care this way. But it’s up to you.
HARRY	167	Have you ever fixed one? A nose.
LUNA	168	No. But I’ve done several toes
HARRY	169	What the hell. Give it a go.
LUNA	170	Episkey.
HARRY	171	Well? How do I look?
LUNA	172	Exceptionally ordinary.
HARRY	173	Brilliant.
RON	174	Don’ you worry. He’ll be ‘long soon ‘nuff --
RON	175	Oi! Turn around, you lunatic.
HARRY	176	Later. What’ve I missed?
HARRY	177	Thanks... Just then, the light in the Hall begins to gently dim and all eyes turn to Dumbledore, standing at the top of the Hall, ashen hand raised to the enchanted ceiling, where
DUMBLEDORE	178	Professor Slughorn, I’m happy to
DUMBLEDORE	179	Now, as you know, each and every one of you was searched upon your arrival tonight. You have a right to know why.
DUMBLEDORE	180	Today, of course, the world knows
DUMBLEDORE	181	Just something to keep in mind. Now, off to bed. Pip pip!
HARRY	182	This can’t be good.
HARRY	183	Well, you see, I’ve got an open period this morning, Professor -- PROFESSOR McGONAGALL So I noticed. I would think you’d want to fill it with Potions. Or is it no longer your ambition to become an Auror?
HARRY	184	It is. Or was. But I was told I had to get an Outstanding in my O.W.L. -- PROFESSOR McGONAGALL And so you did when Professor
HARRY	185	Really? Well... brilliant. I’ll head there straight away. PROFESSOR McGONAGALL Good. And take Weasley with you.
RON	186	But I don’t want to take Potions!
RON	187	Ron Weasley, sir. But I’m dead awful at Potions, a menace actually, so I probably should just be going --
SLUGHORN	188	Nonsense, we’ll sort you out. Any friend of Harry’s is a friend of mine. Right then, books out --
HARRY	189	Um, sorry, sir, but I haven’t got my book yet -- nor’s Ron. You see -- (until this morning...) *
SLUGHORN	190	Not to worry. You can get what you need from the cupboard. As Harry and Ron step to the cupboard, Slughorn resumes,
SLUGHORN	191	Now, as I was saying, I’ve prepared a few concoctions this morning. Any ideas what these might be? Yes, Miss...?
