character	speech_id	text
OF	1	by Steve Kloves Based on the book by J.K. Rowling
FULL TAN DRAFT	2	February 24, 2003
HARRY	3	Lumos Maxima...
HARRY	4	Lumos Maxima...
HARRY	5	Lumos Maxima... As the blankets blaze, we CUT INSIDE, find a SKINNY BOY with a crow's nest of black hair, thick glasses sitting
HARRY	6	Lumos... MAXIMA!
AUNT PETUNIA	7	Well, go on. Open it.
AUNT PETUNIA	8	Marge! Welcome! How was the train?
AUNT MARGE	9	Wretched. Ripper got sick.
AUNT PETUNIA	10	Ah. How... unfortunate.
AUNT MARGE	11	I would've left him with the
UNCLE VERNON	12	What is it?
HARRY	13	Nothing. Something for school...
UNCLE VERNON	14	Later perhaps. If you behave.
HARRY	15	I will if she does.
HARRY	16	Yes.
AUNT MARGE	17	Don’t say 'yes' in that ungrateful tone. Damn good of my brother to keep you, if you ask me.
AUNT MARGE	18	Is that my Dudders! Hm? Is that my neffy poo? Come and say hello to your Auntie Marge. Marge flashes a thick FAN of POUND NOTES. Dudley blinks,
UNCLE VERNON	19	Can I tempt you, Marge?
AUNT MARGE	20	Just a small one. A bit more... a bit more... That's the boy.
AUNT MARGE	21	What are you smirking at! Where is it that you send him, Vernon?
UNCLE VERNON	22	St. Brutus's. It's a first-rate institution for hopeless cases. Hearing this, Harry frowns, glances at Uncle Vernon, who
AUNT MARGE	23	I see. And do they use the cane at St. Brutus's, boy?
AUNT MARGE	24	Excellent. I won't have this namby-pamby wishy-washy nonsense about not hitting people who deserve it.
HARRY	25	That's a lie.
AUNT MARGE	26	What did you say?
HARRY	27	My dad wasn't a drunk. POP! The GLASS in Aunt Marge's hand EXPLODES.
AUNT PETUNIA	28	Oh my goodness! Marge!
AUNT MARGE	29	Not to worry, Petunia. I have a very firm grip.
UNCLE VERNON	30	You go to bed. Now.
AUNT MARGE	31	Quiet, Vernon. It doesn't matter about the father. In the end it comes down to the mother. You see it all the time with dogs. If there's something wrong with the bitch, there'll be something wrong with the pup...
HARRY	32	Shut up! Shut up!
UNCLE VERNON	33	MARGE!
UNCLE VERNON	34	Don't worry! I've got you...
AUNT MARGE	35	Vernon. Don't you dare --
UNCLE VERNON	36	YOU BRING HER BACK! YOU BRING HER
UNCLE VERNON	37	You're not allowed to do magic out
HARRY	38	Anywhere's better than here.
HARRY	39	Aaaah! GIANT WHEELS bear down. Harry rolls clear -- just as a PREPOSTEROUSLY PURPLE, TRIPLE-DECKER BUS SCREECHES to a halt. GOLD LETTERS glimmer above the windscreen: The Knight Bus. DOORS HISS. Snap back. REVEAL STAN SHUNPIKE, an 18- year-old boy in a WRINKLED CONDUCTOR'S UNIFORM. Pasty
HARRY	40	Fell over.
STAN SHUNPIKE	41	Wha' choo fall over for?
HARRY	42	I didn't do it on purpose.
