character	speech_id	text
HARRY	1	Yes, Aunt Petunia~
BARRY	2	Yes, uncle Vernon. ·
DUDLEY.	3	Thirty-six~ But last year ••• last year
UNCLEV ERNON	4	Well now, son, s·ome of these are quite a bit bigger than last year--
DUDLEY	5	So then I'll_have ••• I'll have ••• _ BARRY Thirty~eight, popkin. on
RINGINGT ELEPBONE.	6	_ . _ ._ AUNT PETUNIA You just mind that bacon! BARRY• Yes,. Aunt Petunia. As Dudley tears open-a BOXo f LEADS OLDIERS, Uncle Vernon.
DUDLEY	7	· This one's lost its head. _UNCLE VERNON Well now, son. Remember; we talked about· . this~ They're not meant to move• •• As Dudlei•.:tosses the damaged soldier aside, Harry studies it closely, then .•• Aunt Petunia HANGS UP the phone, turns.
UN.CLEV ERNON	8	We could phone Yvonne.
HARRY	9	You could just leave me here.
UNCLEV ERNON	10	And come back to find the house in ruins?
DUDLEY	11	I. .. Dori' t .•• Want ••• Him• .. To .•. Come!
DUDLEY	12	Three?· AUNT·PETUNIA As many as you want, sweetums.
UNCLEV ERNON	13	I'm warning you now, boy. Any funny business, any at all, and you'll have no meals :for a week.
DUDLEY	14	Make it move. Uncle Vernon looks over a zoo map at the HUGEB URMESEP YTHON *
HARRY	15	He's asleep.
DUDLEY	16	He's boring.· Dudley waddles away and the others follow; all but Harry, who steps forward and rubs Dudley's noseprint from the glass.
DUDLEY	17	'MUMMY!D AD! COMEH ERE! You won't believe what this snake.is doing!
UNCLEV ERNON	18	There's ... no ... such ... thing ... as .• ~magic!
AUNTP ETUNIA	19	You! Go to Smeltings? Don't be stupid~ You'll go to state school, where you belong. That there'll be yours, once I'm done dying it.
HARRY	20	But that's Duo.ley's old uniform. It'll fit me like bits of old elephant skin.
AUNTP ETUNIA	21	Fit you fine enough. Now fetch the post.
UNCLEV ERNON	22	Marge's ill. Ate a funny whelk ••• BAM!D udley brings the Smelting stick down·hard onthe table •
. DUDLEY	23	Dad! Look! Harry's got a letter!
HARRY	24	That's mine!
UNCLEV ERNON	25	Yours. Who'd be writing to you-- Uncle Vernon's face goes pale.
AUNTP ETUNIA	26	Vernon. Look at the address. How could they possibly know where he sleeps? You don't think they're watching the house?
UNCLEV ERNON	27	Watching. Spying. Following us. We both know the dangerous nonsense your sister and her husband were mixed up in.
AUNTP ETUNIA	28	But what should we do, Vernon? Should we write back. Tell them we don't want--
HARRY	29	NO! I WANTM Y LETTER! - q - shooting Draft White 11/09/00 11. ,_ 0 ~-- . ·.. - :. . ,• .. · . . ..
UNCLEV ERNON	30	Fine day; Sunday. Best day of the week in my opinion. Know why I say that, Dudl~y?
UNCLEV ERNON	31	0 .· Right you are, Harry! No damn letters today! No sir. Not one blasted •.. Just then, something WHIZZESD OWNth e chimney and S~.iACKS Uncle Vernon flat on the back of the head. Seconds later another follows, and then another, until the living room is aflock with •.. LETTERS. Harry leaps onto a table, trying to
DUDLEY	32	.Who on earth wants to talk to you this badly! A letter flutters on Harry's fingertips ... before Uncle Vernon sweeps it away, eyes crazed, SHOUTINGC RAZILY:
UNCLEV ERNON	33	That does it! We're going away! Far away! Where they can't find us! Wnere they can't get to us! - II - :.~:i:} · Shooting Draft•·._ White 11/09/00 .. 13.
.A	34	very ~ad:..lcioki,ng HUT sits perched upon a Targe ROCKf ar at.· . ..s ea. Wind whistles. The sea rages. 48 INT~ HUTO N THE ROCK- NIGHT 48 Uncle Verrl:on.and Aunt Petunia sleep on a lumpy bed in the hut's-only bedroom. Dudley.SNORES on a moth-eaten sofa. Harry lies on the bare floor beneath a ragged blanket. LIGHTNING FLASHES·.. A s the · room goes dark again, Harry studies the lighted dial of Dudley's watch. _As it ticks toward midnight,
HARRY	35	Make a wish, Harry.
..U NCLEV ERNON	36	Who's there? I warn you--I'marmed!
HAGRID	37	Well now, course yeh are. *
HAGRID	38	Ah, dry up, Dursley, yeh great prune. u Hagrid takes the rifle, knots it like a piece of licorice. HAGRID( CONT'D) Anyway, Harry. Got summat fer yeh. 'Fraid I mighta sat on it at some point,. but 'magine it' 11 taste all right jus' the same .•. let's see now ... got it here somewhere ••.
HARRY	39	Thank you.
HAGRID	40	Well,· it's not ev'ry day yer·young man turns 'leven. .. -r1J- • Revision Gol.d . 31/10/00 1~·- · 0 Hagrid turns to the fireplace, gives the.embers a poke with
HARRY ..	41	Excuse me, but ••• who are you?
HARRY	42	Learned what? · *
HAGRID	43	What? DORSLEY!!! Do yeh mean ter tell * me the boy knows nothin? *
HARRY	44	'Dear Mr. Potter, We are pleased to inform you that you have been accepted at Hogwarts School of Witchcraft and Wizardry ••• ' · As Harry looks up, Hagrid winks, and takes a bite of sausage.
UNCLEV ERNON	45	He'll not be going, I tell you! We swore when we took him in we'd put a stop to that rubbish! *
HARRY	46	You knew'? You knew I'm a •.• a wizard'?
AUNT PETUNIA	47	Of course we knew! How could you not be, my dratted sister being what she 0 was'? Oh, mother and father were so * proud when the letter came. A witch.in * the family •. Isn't it wonderful. I was *
HARRY	48	Blown up? You told me my parents died in a car crash.
HAGRID	49	CAR CRASH! A car crash kill Lily and James Potter? It's an outrage! A sc;:andal!
UNCLEV ERNON	50	HE'LL NOT BE GOING, I TELL YOU!
HAGRID	51	An' I s'ppose a great Muggle like *
HARRY	52	Muggle'?
HAGRID	53	Non-magic folk. · (turning to Uncle Vernon} * This boy's name's been down ever since
HAGRID	54	NEVER.• . INSULT. •. ALBUS.. . DUMBLEDO•R••E IN •.• FRONT.• • OF ••• ME! Hagrid spins, points the umbrella at Uncle Vernon; then spies Dudley, one hand deep in Harry's birthday cake. POP!- a FLASH of VIOLET LIGHT hits Dudley square in the rump.
HARRY	55	'First year students will require three sets of plain work robes, one plain pointed hat for day wear, one pair of u dragon-hide gloves ... '
HAGRID	56	Things these Muggles dream up ...
HARRY	57	'One wand, one standard Size 2 pewter
HAGRID	58	If yeh know where to go. 0
HAGRID	59	Professor! Didn't see yeh there. Harry, this 'ere's Professor Quirrell. He'll be yer Defence Against the Dark Arts teacher at Hogwarts~
QUIRRELL	60	F-F-Fearfully f-fascinating subject. N Not that you n-need it~ eh, .P-P-Potter? Quirrell's eyes flutter nervously over Harry's scar.
HAGRID	61	Yes, well~ must get on .. · Lots ter buy.
HAGRID	62	Don' know that I'm the right one.ter tell yeh that, Harry. Let's see now. •• Three up •.• Two across .. ~Right. Stand back now. - - . --8'0·-. ·· Shooting Draft White ll/09/00 · 20. -- . 0 Hagrid gives the wall one last TAP and the bri~ks QUIVER,· ·.• wriggling and jiggling until an·ARCHWAYap pears, givihg out on a COBBLEDS TREET so long and twisting it seems never to end. As Harry's jaw drops, Hagrid grins. HAGRID( CONT'D) Welcome, Harry. To Diagon Alley. .·5. 2 52 EXT~ DIAGONA LLEY; CONTINUOU-S MORNING As Harry steps through, the archway SHRINKSI NSTANTLYin to a
HARRY.	63	You'd like a dragon?
HAGRID	64	Vastly misunderstood beasts, Harry. Vastly misunderstood .•.
HAGRID	65	Let's see, got it 'ere somewhere •••
GOBLIN	66	Very well. I' 11 have Griphook ti:ike you •.
GRIPBOOK	67	vault Seven Hundred Thirteen.
BARRY	68	What's in here, Bagrid?
BAGRID	69	Can't tell yeh that, Barry. Bogwarts ·business. Very secret. 0 Griphook steps up to a door with no keyhole, strokes it with one long finger, and it simply MELTSa way. BAGRJ:D (CONT'D) Anyone but a Gringotts goblin tried that, they'd be sucked through the door.
BARRY	70	Bow often -do you check to see if anyone's inside?
GRIPBOOK	71	About once every ten years.
BAGRID	72	Best not mention this ter anyone either; Barry.
I	73	_I Revision 2nd Green 19/04/01 23· O·· HAmtY
OLLIVANDER	74	No. No.·nefinitely not. No Matter. After a11 ••• it's .the wand that chooses the wizard. -- - __ - - ... -·---2..5-- .._ ------ ,.
BARRY	75	Sorry, but what'· s curious?
BARRY	76	And who owned·that wand? Olliv~der exchanges a surprised glance with ·Bagrid.
OLLIVANDER.	77	As I said, the wand chooses the wizard, Mr. Potter. It's not always clear why. But I think-it's clear we can expect great things from you. · After all, Be-Who-Must-Not-Be-Named did great things.
C	78	.l I haven't. Not really. *
BAGRID	79	You all right, Barry? Yer very quiet.
BARRY	80	Voldemort1 ·
.BAGRID	81	Dark days those were, Barry. .
HARRY	82	me? Me? Voldemort tried to·kill
BAGRID	83	That's no ord'nary c_ut on your forehead. A mark like that only comes when yeh've been touched by a curse. An evil curse.
HARRY	84	Excuse me~ Can you tell me where .I mfght find Platform.Nine and Three-Quarters.
MRS. WEASLEY	85	Sorry, George. · FRED Only joking. I am Fred. .: ~ - -- - ........... -·--- ---·--JC"2: .' ...... .--- . •4!- __ ....., - . Shooting Draft White 11/09/00 29. 0
HARRY	86	Excuse me. Could you tell me--
MRS. WEASLEY	87	How to get onto the platform? Not to worry, dear. It's Ron's first time to Hogwarts as ~ell.
NEVILLE	88	Gran! I've lost my toad again.
GRAN	89	Oh, Neville. Honestly. Not again •• ~. Further up, a BOY IN DREADLOCK(SL EE JORDAN)h olds a BOX.
STUDENT	90	Go on, Lee. Give us a look. As Lee lifts the LID, a LONGH AIRYL EG protrudes and students SHRIEK. Unimpressed, one of the twins spots Harry struggling. --- ... ~-- - _ .. _____ :1ftr ~ ~ ·-~ - .. ----2>(---- --- ... .. JI shooting Draft White 11/09/00 30. :~:.f~.\~ •.. ..-. ~.-:.. 0
GEORGE	91	.o- want a hand?
HARRY	92	Yes, please.
GEORGE	93	Oy! C'mere, fred! Take a handle.
HARRY	94	Thanks very .much.
GEORGE	95	Blimey. You're .••
HARRY	96	What? Oh, him. Yes. I mean, I am. 0
MRS. WEASLEY	97	Fred! George! Come say goodbye to Ginny.
PERCY	98	Have to go, Mother. The other Prefects are expecting me up front.
FRED	99	Blown up a toilet? We've never blown up a toilet.
GEORGE	100	Great idea, though, thanks, Mum!
RON	101	Mind? Everywhere else is full.
HARRY	102	Not at all.
