annotation_id,movie,character,speech_id,text,annotation_label
1,sorcerer_s_stone,DUMBLEDORE,1,"I should have known you'd be here,",Duty
2,sorcerer_s_stone,DUMBLEDORE,5,"I would trust Hagrid with my life, Professor.",Relationship
3,sorcerer_s_stone,DUMBLEDORE,7,"No problems, I take it, Hagrid?",Informative
4,sorcerer_s_stone,DUMBLEDORE,11,Exactly. It would be enough to turn,Informative
5,sorcerer_s_stone,DUMBLEDORE,12,"There, there, Hagrid. It's not eally goodbye, after all.",Relationship
6,sorcerer_s_stone,DUMBLEDORE,13,"Good luck, Harry Potter.",Relationship
7,sorcerer_s_stone,DUMBLEDORE,383,"Everyone will please not panic. Prefects, lead your Houses back to the dormitories. Teachers, follow me to the dungeons.",Danger
8,chamber_of_secrets,DUMBLEDORE,196,"Splendid. Now, I suggest we return to the feast. There's a delicious-looking custard tart I want to sample.",Informative
9,chamber_of_secrets,DUMBLEDORE,289,"She's not dead, Argus. She's been Petrified.",Magic
10,chamber_of_secrets,DUMBLEDORE,291,But how she's been Petrified... I cannot say.,Magic
11,chamber_of_secrets,DUMBLEDORE,299,Innocent until proven guilty.,Storyline
12,chamber_of_secrets,DUMBLEDORE,301,"We will be able to cure her, Argus. As I understand it, Madam Sprout has a very healthy growth",Magic
13,chamber_of_secrets,DUMBLEDORE,368,There's been another attack.,Danger
14,chamber_of_secrets,DUMBLEDORE,369,"It means our students are in great danger, Minerva. Mr. Creevey was fortunate. If not for this...",Danger
15,chamber_of_secrets,DUMBLEDORE,427,About time too. He's been looking dreadful for days. Pity you had,Informative
16,chamber_of_secrets,DUMBLEDORE,428,"Fascinating creatures, phoenixes.",Magic
17,chamber_of_secrets,DUMBLEDORE,432,HAGRID! I do not think that Harry has attacked anyone.,Relationship
18,chamber_of_secrets,DUMBLEDORE,435,"No, Harry. But I must ask you... is there anything you'd like to tell me. Anything at all?",Relationship
19,chamber_of_secrets,DUMBLEDORE,539,"It's not wise to be wandering around this late, Tom.",Relationship
20,chamber_of_secrets,DUMBLEDORE,542,"Headmaster Dippet may have no choice, I'm afraid.",Informative
21,chamber_of_secrets,DUMBLEDORE,544,"Is there something you wish to tell me, Tom?",Relationship
22,chamber_of_secrets,DUMBLEDORE,545,Very well then. Hurry along.,Duty
23,chamber_of_secrets,DUMBLEDORE,587,"Good evening, Hagrid.",Relationship
24,chamber_of_secrets,DUMBLEDORE,590,"I want it understood, Cornelius, that Hagrid has my full confidence.",Relationship
25,chamber_of_secrets,DUMBLEDORE,602,"Calm yourself, Hagrid!",Danger
26,chamber_of_secrets,DUMBLEDORE,757,Ingenious. Simply... ingenious.,Informative
27,chamber_of_secrets,DUMBLEDORE,760,"Wiser wizards than you have been hoodwinked by Lord Voldemort, Miss Weasley. No, I think you've endured enough. I would suggest a bit of bed rest, however. And perhaps a large mug of hot chocolate. I always find that cheers me up. Minerva, will you show Arthur and Molly up to the hospital wing?",Danger
28,chamber_of_secrets,DUMBLEDORE,762,"You two realize, of course, that in the last few hours, you have broken perhaps a dozen school rules?",Danger
29,chamber_of_secrets,DUMBLEDORE,763,"Therefore, it seems only fitting...",Informative
30,chamber_of_secrets,DUMBLEDORE,764,"Now, Mr. Weasley, if you would, have an owl deliver these release papers to Azkaban. We need our gamekeeper back.",Duty
31,chamber_of_secrets,DUMBLEDORE,765,"First, Harry, I want to thank you. You must have shown me real loyalty down in the Chamber. Nothing but that could have called Fawkes to you. Secondly, I sense you're troubled by something. Am I right?",Relationship
32,chamber_of_secrets,DUMBLEDORE,767,"You can speak Parseltongue, Harry, because Lord Voldemort can speak Parseltongue. Unless I'm much",Magic
33,chamber_of_secrets,DUMBLEDORE,769,"Not intentionally, but... yes.",Informative
34,chamber_of_secrets,DUMBLEDORE,771,"It's true, Harry. You do possess many of the qualities Voldemort himself prizes. Resourcefulness. Determination. A certain disregard for the rules. Yet the",Relationship
35,chamber_of_secrets,DUMBLEDORE,773,"Exactly. Which makes you very different from Voldemort. It's not our abilities that show what we truly are, Harry. It's our choices.",Relationship
36,chamber_of_secrets,DUMBLEDORE,775,Only a true Gryffindor could have pulled that out of the Hat.,Magic
37,chamber_of_secrets,DUMBLEDORE,778,Yes. When the governors heard that Arthur Weasley's daughter had,Storyline
38,chamber_of_secrets,DUMBLEDORE,780,Oh yes. It was Voldemort. Only,Storyline
39,chamber_of_secrets,DUMBLEDORE,781,"Fortunately, our young Mr. Potter discovered it.",Storyline
40,chamber_of_secrets,DUMBLEDORE,798,"Before we begin our feast, let's give a round of applause to",Informative
41,chamber_of_secrets,DUMBLEDORE,799,"Also, in the wake of recent events, as a school treat, all exams have been cancelled. Everyone cheers, save for Hermione.",Informative
42,the_order_phoenix,DUMBLEDORE,99,Albus Percival Wulfric Brian Dumbledore.,Informative
43,the_order_phoenix,DUMBLEDORE,101,I must have missed it. But due to,Duty
44,the_order_phoenix,DUMBLEDORE,112,"Pardon me, Minister, but as it happens...we can.",Duty
45,the_order_phoenix,DUMBLEDORE,118,"Oh, I don't think any of us believe",Informative
46,the_order_phoenix,DUMBLEDORE,120,"That would be disturbing indeed, Madame Undersecretary...which is why I'm confident the Ministry will be making a full inquiry into why two Dementors were so very far",Magic
47,the_order_phoenix,DUMBLEDORE,121,Cornelius...I implore you to listen to reason. The evidence that the Dark Lord has returned is incontravert--,Danger
48,the_order_phoenix,DUMBLEDORE,123,In the matter of Harry Potter: the law plainly states that magic may be used before Muggles in life- threatening situations.,Informative
49,the_order_phoenix,DUMBLEDORE,125,Clearly--if it has become practice to hold a full criminal trial to deal with a simple matter of underage magic.,Mockery
50,the_order_phoenix,DUMBLEDORE,157,"...We have two changes in staffing this year. We are pleased to welcome back Professor Grubbly- Plank, who will be taking Care of Magical Creatures while Professor",Magic
51,the_order_phoenix,DUMBLEDORE,158,"...We also wish to welcome our new Defense Against the Dark Arts teacher--Professor Dolores Umbridge. DUMBLEDORE (O.S.) [I'm sure I'm not alone in saying good luck, Professor...]",Magic
52,the_order_phoenix,DUMBLEDORE,161,"...As usual, our Caretaker Mr. Filch has asked me to remind you--",Informative
53,the_order_phoenix,DUMBLEDORE,166,"Thank you Professor Umbridge; that was most...illuminating. As I was saying, Mr. Filch has asked me... 31. DUMBLEDORE (O.S.) [...to remind you all that magic is not permitted in corridors between classes, nor are any number of other things, all of which can be checked on the extensive list now fastened to Mr. Filch's office door. First-years ought to know that the Forest in",Magic
54,the_order_phoenix,DUMBLEDORE,282,"--you have the right to dismiss my teachers. You do not, however,",Relationship
55,the_order_phoenix,DUMBLEDORE,283,I trust you all have studying to do?,Duty
56,the_order_phoenix,DUMBLEDORE,371,"...in the dream, were you standing beside the victim, or looking down",Informative
57,the_order_phoenix,DUMBLEDORE,375,Phineas: I need you to go to your portrait at Grimmauld Place. Tell,Duty
58,the_order_phoenix,DUMBLEDORE,378,"Yes, Severus. I'm afraid we daren't wait even until morning.",Danger
