character	speech_id	text
FINAL WHITE DRAFT	1	January 21, 2009 Warner Bros. Prod. Ltd. © 2009 4000 Warner Boulevard WARNER BROS. ENT. Burbank, California 91522 All Rights Reserved
SCRIMGEOUR	2	These are dark times, there is no denying. Our world has perhaps faced no greater threat than it does today. But I say this to our citizenry: we, ever your servants, continue to defend your liberty and repel the forces that would seek to take it from you. Your Ministry remains strong... CAMERA FAVORS a pair of wizards, YAXLEY and PIUS THICKNESSE, who turn away as we PULL OUT of the PHOTOGRAPH and SAIL once more THROUGH the turning pages,
HERMIONE	3	Coming, Mum.
MRS. GRANGER	4	Don’t you look lovely. All packed?
MR. GRANGER	5	Are you sure these biscuits are sugar-free?
MRS. GRANGER	6	Quite sure, dear. See the big bold letters that say ‘Sugar Free’? Dead giveaway.
MR. GRANGER	7	Mm. Yes.
MRS. GRANGER	8	Darling, don’t be suspicious the biscuits taste so good, be grateful the company’s so clever...
HERMIONE	9	Obliviate.
HERMIONE	10	Goodbye.
RON	11	What are those?
ARTHUR WEASLEY	12	Close the door.
ARTHUR WEASLEY	13	These are for the Order. So many
RON	14	C’mon. Mum’s got dinner ready.
VOLDEMORT	15	Severus. I was beginning to worry you’d lost your way. Come. I’ve saved you a seat.
VOLDEMORT	16	You know our hosts, of course, Severus. Narcissa in particular has been most hospitable. Lucius, on the other hand, is, I fear, burdened by my presence. Are you, Lucius?
LUCIUS	17	My lord?
VOLDEMORT	18	Are you burdened?
NARCISSA MALFOY	19	My lord is always welcome here.
VOLDEMORT	20	You bring news I trust, Severus?
SNAPE	21	It will happen Saturday next. At nightfall.
VOLDEMORT	22	And this information comes --
SNAPE	23	-- from the source we discussed. Yaxley, the wizard seen at the Ministry, leans into the flickering light from the opposite end of the table.
YAXLEY	24	I have heard differently, my lord. Dawlish, the Auror, let slip that
SNAPE	25	This is a false trail. The Auror Office no longer plays any part in
VOLDEMORT	26	Pius, what say you?
THICKNESSE	27	One hears many things, my lord.
VOLDEMORT	28	Spoken like a true politician. You will, I think, prove most
