character	speech_id	text
HARRY	1	What did you put on me?
HERMIONE	2	A Stinging Jinx.
HARRY	3	How long will it last?
HERMIONE	4	Not long.
BELLATRIX	5	Show me.
BELLATRIX	6	Get Draco.
LUCIUS	7	Why Draco?
BELLATRIX	8	Just sit back and watch, Lucius. Hm? Pour yourself another glass of wine.
BELLATRIX	9	Where’d you find them?
SCABIOR	10	In the North Forest.
BELLATRIX	11	Lovely scarf, Scabior. Though I’m not sure it’s your color.
SCABIOR	12	It’s not mine.
BELLATRIX	13	You don’t say.
BELLATRIX	14	Fancy her, do you, Scabior? Can’t say I blame you. Maybe we’ll work out a little reward for you, hm? That is, assuming all is as it appears. Ah, Draco. Come here, darling. From the shadows at the far end of the room Draco separates from Narcissa, steps cautiously forward.
BELLATRIX	15	My friends here say they’ve got
BELLATRIX	16	Well...?
DRACO	17	I can’t... I can’t be sure.
LUCIUS	18	Look close, Draco. If we’re the ones who hand Potter over to the Dark Lord, everything will be forgiven. Do you understand --
BELLATRIX	19	Of course not.
SCABIOR	20	He came to us that way. I reckon
BELLATRIX	21	Or ran into a Stinging Jinx. Bellatrix, eyes flashing, steps up close to Hermione.
BELLATRIX	22	Was it you, dearie? Give me her wand. We’ll see what the last spell was.
BELLATRIX	23	What is that?
BELLATRIX	24	Where did you get that!
SNATCHER	25	It was in her bag when we searched
SCABIOR	26	Are you mad!
SCABIOR	27	How dare you! Release me, woman!
BELLATRIX	28	Go. GO!
BELLATRIX	29	Wormtail. Put these two in the cellar. I want to have a little conversation with this one. Girl to girl.
RON	30	Harry! What’re we going to do? We can’t just leave Hermione alone
LUNA	31	Ron? Harry...?
HARRY	32	Luna...? 7.
HERMIONE	33	I don’t know what you’re talking about.
BELLATRIX	34	Liar. What else did you take?
LUNA	35	You look strange, Harry. Mr. Ollivander, look who’s here. It’s
HARRY	36	Hello, sir.
RON	37	We have to do something, Harry!
OLLIVANDER	38	There’s no way out. We’ve tried everything.
LUNA	39	You’re bleeding, Harry.
LUNA	40	That’s a curious thing to hide in your sock. Taking the shard, Harry turns the silvery side toward himself (and only himself) -- and for a split second --
