character	speech_id	text
TITLES	1	
OLD MAN	2	Bloody kids.
EXT. DARKNESS	3	The old man is wandering up to the house carrying a lit torch.
WORMTAIL	4	Oh no no no my Lord Voldemort. I only meant... perhaps if we were to do it without the boy..
VOLDEMORT	5	NO! The boy is everything, it cannot
UNKNOWN MAN	6	I will not disappoint you my lord.
VOLDEMORT	7	Good. First, gather our old comrades.
VOLDEMORT	8	Nagini tells me the old caretaker is standing outside the door.
VOLDEMORT	9	Step aside so I can give our guest a proper greeting.  A loud spell is cast and Harry wakes up in a flash of panic.
HERMIONE	10	Harry!
HERMIONE	11	Are you alright?
HARRY	12	Hermione. Bad dream. When did you get here?
HERMIONE	13	Just now. You?
HARRY	14	Last night.
HERMIONE	15	Wake up. Wake up Ronald!
RON	16	Bloody hell.
HERMIONE	17	Honestly. Get dressed, and don't go back to sleep. Come on Ron! Your mother says breakfast's ready.
EXT. GRASSLAND	18	
HARRY	19	Where are we actually going?
RON	20	Don't know. Hey Dad! Where are we going?
ARTHUR	21	Haven't the foggiest, keep up!
AMOS	22	Arthur! It's about time son.
ARTHUR	23	Sorry Amos. Some of us had a bit of a sleepy start. This is Amos Diggory
CEDRIC	24	Yes sir.
AMOS	25	Merlin's beard, you must be Harry Potter.
HARRY	26	Yes sir. This way.
AMOS	27	Great great pleasure.
HARRY	28	Pleasure to meet you too sir.
ARTHUR	29	That's it sir, just over there.
AMOS	30	Shall we? We don't want to be late.   Camera homes in on a boot on top of the hillside.
FRED	31	That isn't just any old manky boot mate.
GEORGE	32	It's a portkey.
AMOS	33	Time to go. Ready?
HARRY	34	What's a 'portkey'?
AMOS	35	After 3. One... Two...
ARTHUR	36	Harry!
AMOS	37	Three!  There's a white flash and suddenly they're all flying through the air. Everyone cheers.
ARTHUR	38	Let go kids!
HERMIONE	39	What??
ARTHUR	40	Let! Go!  Harry, Hermione and the young Weasleys crash to the ground with a thump. Arthur, Amos and Cedric come down more gracefully.
ARTHUR	41	I bet that cleared your sinuses eh?
HARRY	42	Thanks.  They walk across the field and we see there's a massive crowd gathered and cheering, tents are set up all over.
ARTHUR	43	Well kids, welcome to the Quidditch World Cup!
AMOS	44	Parting of the waves I think old chap, see you at the match.  Amos and Cedric separate and walk off.
HARRY	45	See ya later Cedric.
ARTHUR	46	Home sweet home.
ARTHUR	47	Girls. Choose a bunk and unpack. Ron, get out of the kitchen we're all hungry.
TWINS	48	Yeah get out of the kitchen Ron.
ARTHUR	49	Feet off the table.
TWINS	50	Feet off the table.
EXT. HILLSIDE	51	We pan up the hillside onto a large stadium which seems to have a huge number of floors.
RON	52	Blimey Dad, how far up ARE we?
LUCIUS	53	Well put it this way, if it rains... you'll be the first to know
DRACO	54	Father and I are in the minister's box, by personal invitation of Cornelius
LUCIUS	55	Don't boast Draco. There's no need with these people. Do enjoy yourself won't you. While you can.  The ceremonies begin. Balloons fly and fireworks go off.
ARTHUR	56	Come on up, take your seats. I told you these seats would be worth waiting for.
GEORGE	57	Come on!
FRED	58	It's the Irish!
GEORGE	59	Here come the Bulgarians!
WEASLEYS	60	Krum!!!
GEORGE	61	Yes!
ANNOUNCER	62	Good evening! It gives me great pleasure to welcome each and every one of you to the final of the 422nd Quidditch World Cup. Let the match begin!
RON	63	There's no one like Krum. He's like
GINNY	64	Think you're in love Ron?
BOYS	65	When we're apart my heart beats only for youuu!
ARTHUR	66	Stop! Stop it. It's not the irish. We've gotta get out of here. Now.
EXT. OUTSIDE THE TENT	67	
ARTHUR	68	Get back to the portkey everybody, and stick together. Fred, George... Ginny is your responsibility.  Some figures in pointed hoods carrying flaming torches are walking across the campsite chanting ominous noises. The crowd is paniced and rushing all over. Harry is trampled unconscious.
RON	69	Been looking for you for ages. Thought we lost you.
HARRY	70	What is THAT?
ARTHUR	71	Stop! That's my son.  Arthur and others approach.
ARTHUR	72	Ron, Harry, Hermione are you alright?
