movie,character,speech_id,text
sorcerer_s_stone_all_characters,DUMBLEDORE,1,"I should have known you'd be here,"
sorcerer_s_stone_all_characters,DUMBLEDORE,5,"I would trust Hagrid with my life, Professor."
sorcerer_s_stone_all_characters,DUMBLEDORE,7,"No problems, I take it, Hagrid?"
sorcerer_s_stone_all_characters,DUMBLEDORE,11,"Exactly. It would be enough to turn"
sorcerer_s_stone_all_characters,DUMBLEDORE,12,"There, there, Hagrid. It's not eally goodbye, after all."
sorcerer_s_stone_all_characters,DUMBLEDORE,13,"Good luck, Harry Potter."
sorcerer_s_stone_all_characters,DUMBLEDORE,383,"Everyone will please not panic. Prefects, lead your Houses back to the dormitories. Teachers, follow me to the dungeons."
chamber_of_secrets_speeches,ALBUS DUMBLEDORE,194,"I'm well aware of our bylaws, Severus, having written more than a few myself. However, as Head of Gryffindor House, it is for"
chamber_of_secrets_speeches,DUMBLEDORE,196,"Splendid. Now, I suggest we return to the feast. There's a delicious-looking custard tart I want to sample."
chamber_of_secrets_speeches,DUMBLEDORE,287,"Argus!"
chamber_of_secrets_speeches,DUMBLEDORE,289,"She's not dead, Argus. She's been Petrified."
chamber_of_secrets_speeches,DUMBLEDORE,291,"But how she's been Petrified... I cannot say."
chamber_of_secrets_speeches,DUMBLEDORE,299,"Innocent until proven guilty."
chamber_of_secrets_speeches,DUMBLEDORE,301,"We will be able to cure her, Argus. As I understand it, Madam Sprout has a very healthy growth"
chamber_of_secrets_speeches,DUMBLEDORE,368,"There's been another attack."
chamber_of_secrets_speeches,DUMBLEDORE,369,"It means our students are in great danger, Minerva. Mr. Creevey was fortunate. If not for this..."
chamber_of_secrets_speeches,DUMBLEDORE,427,"About time too. He's been looking dreadful for days. Pity you had"
chamber_of_secrets_speeches,DUMBLEDORE,428,"Fascinating creatures, phoenixes."
chamber_of_secrets_speeches,DUMBLEDORE,432,"HAGRID! I do not think that Harry has attacked anyone."
chamber_of_secrets_speeches,DUMBLEDORE,435,"No, Harry. But I must ask you... is there anything you'd like to tell me. Anything at all?"
chamber_of_secrets_speeches,DUMBLEDORE,539,"It's not wise to be wandering around this late, Tom."
chamber_of_secrets_speeches,DUMBLEDORE,542,"Headmaster Dippet may have no choice, I'm afraid."
chamber_of_secrets_speeches,DUMBLEDORE,544,"Is there something you wish to tell me, Tom?"
chamber_of_secrets_speeches,DUMBLEDORE,545,"Very well then. Hurry along."
chamber_of_secrets_speeches,DUMBLEDORE,587,"Good evening, Hagrid."
chamber_of_secrets_speeches,DUMBLEDORE,590,"I want it understood, Cornelius, that Hagrid has my full confidence."
chamber_of_secrets_speeches,DUMBLEDORE,602,"Calm yourself, Hagrid!"
chamber_of_secrets_speeches,DUMBLEDORE,757,"Ingenious. Simply... ingenious."
chamber_of_secrets_speeches,DUMBLEDORE,760,"Wiser wizards than you have been hoodwinked by Lord Voldemort, Miss Weasley. No, I think you've endured enough. I would suggest a bit of bed rest, however. And perhaps a large mug of hot chocolate. I always find that cheers me up. Minerva, will you show Arthur and Molly up to the hospital wing?"
