character	speech_id	text
HERMIONE	51	HARRY--!
HERMIONE	52	Are you all right? We overheard
HERMIONE	53	--and this hearing at the Ministry--it's just outrageous!
RON	55	It's Headquarters...
HERMIONE	56	...of the Order of the Phoenix. It's a secret society; Dumbledore
RON	58	"We wanted to write mate, really we did--only--"
HERMIONE	60	Only Dumbledore made us swear not to tell you anything.
RON	144	"It's only Malfoy, Harry. What'd you expect...?"
RON	148	What's what?
HERMIONE	150	"Nothing's pulling the carriage, Harry. It's pulling itself--like always."
HERMIONE	154	What an interesting necklace.
HERMIONE	159	You know her?
RON	167	Illuminating? What a load of waffle!
HERMIONE	168	There was important stuff hidden in that waffle.
HERMIONE	170	It means the Ministry's interfering at Hogwarts.
RON	181	"As a matter of fact, I do! So unless you want a fistful of Weasley you'll shut your mouth!"
RON	182	You all right?
RON	184	"Right. I'll just leave you to your thoughts, then."
HERMIONE	188	There's nothing in here about actually using defensive spells.
HERMIONE	189	But surely the whole point of Defense Against the Dark Arts--
SNAPE	219	Yes.
SNAPE	221	Obviously.
SNAPE	223	I suggest you ask him.
RON	241	"...I'm not asking you to write all of it for me, just...most of it."
HERMIONE	242	All right; I'll do the introduction--but that's all. 
HERMIONE	243	I'll know you're back to normal.
HERMIONE	244	What's wrong with your hand?
HERMIONE	245	You've got to tell Dumbledore.
RON	246	"Bloody hell Harry, the woman's torturing you! If the parents knew about this--!"
HERMIONE	248	Harry...You've got to report this. It's a simple matter of--
HERMIONE	252	Then help us to.
HERMIONE	263	Don't you ever stop eating?
RON	264	Wha'? Ah'm 'ungry...
RON	265	Harry.
HERMIONE	285	"That foul, evil old gargoyle! We've got to do something! "
HERMIONE	286	"THAT'S NOT THE POINT, RON! We're not learning how to defend ourselves, we're not learning what we need to pass our OWLS, she's taking over the entire school-- what's Dumbledore playing at?"
HERMIONE	296	We've got to be able to defend ourselves. And if Umbridge refuses to teach us how...
RON	298	Look on the bright side--you can't be any worse than old toad-face. 
RON	299	"I'm here for you, mate."
RON	300	Lovely spot.
HERMIONE	301	I thought it'd be safer someplace off the beaten track.
HERMIONE	303	"Oh, just a couple of people..."
HERMIONE	304	"Um--hi. So, you all know why we're here. We need a teacher--a proper teacher, one who's had real experience defending themselves against the Dark Arts--"
RON	306	"Why? Because You-Know-Who is back, you tosspot!"
HERMIONE	307	So Dumbledore says--
HERMIONE	311	Yes. I've seen it. A fully-formed stag Patronus.
HERMIONE	318	You're right Harry. We don't. That's why we need your help. Because if we're to have any chance of beating V-Voldemort...
RON	321	Not bloody likely.
RON	323	"Who are you, and what have you done with Hermione Granger? "
HERMIONE	327	"You've done it, Neville! You've found the Room of Requirement!"
HERMIONE	328	I've heard rumors about it for ages but I never believed them until now...!
RON	329	"So, say you really needed a toilet...?"
HERMIONE	330	"Charming, Ronald. But yes, that's"
HERMIONE	340	No need to think's more like it.
RON	346	Don't worry--I'll go easy on you.
RON	347	"I--I let her do that. I mean it's just good manners, isn't it!"
RON	364	Well? How was it?
HERMIONE	366	I'm sure Harry's kissing was more than satisfactory. Cho spends half
RON	367	You'd think a bit of snogging
HERMIONE	368	"Well obviously she's feeling sad about Cedric, and therefore confused about liking Harry and"
RON	369	"One person can't feel all that at once, they'd explode!"
HERMIONE	370	Just because you've got the emotional range of a teaspoon...
SNAPE	377	"You wished to see me, Headmaster?"
SNAPE	379	It would appear there is a connection between the Dark Lord's
SNAPE	381	Read it. Control it. Unhinge it... In the past it was often the Dark Lord's pleasure to invade the
HERMIONE	394	Harry? Time to go.
HERMIONE	405	"Oh Hagrid, what happened?"
RON	407	Nothing? Would you say that if one of us turned up with a pound of mince instead of a face?
HERMIONE	410	Giants!
RON	414	Death Eaters?
RON	442	...you did everything you could. No one could win against that old hag.
HERMIONE	443	"He's right. Not even Dumbledore saw this coming. Besides, if it's anyone's fault it's ours..."
RON	444	"Yeah, we talked you into it. "
HERMIONE	447	What?
RON	450	Any idea where he's taking us?
HERMIONE	452	What is that?
RON	453	Whatever it is...it's not a happy sound.
