character	speech_id	text
RON	101	Mind? Everywhere else is full.
RON	109	"I've about six of him. Trade you Scabbers though, if you get Agrippa or Ptolemy."
HERMIONE	111	Has anyone .seen a toad?° A boy named
RON	112	"Sunshine, daisie·s, butter mellow, Turn this stupid, fat rat yellow. "
HERMIONE	113	"Are you sure that's a reai spell? Well, it's not.very good, is it? I've only tried a few simple.ones myself but they've all worked for me. For example .•."
HERMIONE	115	Didn't you know?.I'd have found out everything I could if it was me.
RON	116	um. •• Ron Weasley•.
HERMIONE	117	"Pleasure. Do either of you know what House you'll be in'? I'm hoping for Gryffindor--I hear Dumbledore himself was in it--but I think I might just die if they put me in Slytherin. That was You Know-Who's House. Anyway, you two had better change into your robes. I expect we'll be arriving soon. You've got dirt on your nose, by the way, did you know?"
RON	122	"Some kind of test, I think. Fred says it"
RON	129	Slytheriri. 
RON	133	Harry? What is it? 
HERMIONE	143	Nearly headless?How can you be nearly headless?
RON	150	"This is Staircase·Twelve North, which should take us to Backward Staircase Seven--no wait a minute, we're on Backward Staircase Seven •••"
RON	152	"Whew! We made it, mate .. Can you imagine old McGonagall's face if we were late first day out �"
SNAPE	156	"There will be no foolish.wand waving or silly incantations in this class~ As such, I don't expect many of you to appreciate the subtle science and exact art that is potion making. However, for thos~ select few ..•"
SNAPE	157	And the difference between monkshood and wolfsbane?·
SNAPE	158	"Pity. Clearly fame isn't everything, is it, Mr. Potter."
RON	162	Turn it to rum. Actually managed a weak tea yesterday before it •••
HERMIONE	163	I've read about those. If the smoke turns red it means you've forgotten something.
RON	167	It's mad. Dad says there are dragons guarding some of the vaults.
HERMIONE	175	Harry! No! You heard what Madame Hooch said. Besides you don't even know how to ... fly.
RON	181	Seeker! But first years never make the House teams. You must be the youngest Quidditch player in--
HERMIONE	188	You won't make a fool of yourself.
HERMIONE	190	We're not supposed to be here. This is the Third Floor. It's forbidden. *
HERMIONE	191	Because Dumbledore said so. Let's go.
RON	192	That's .it. We're done for.
HERMIONE	193	"Oh, move over. Alohomora!"
RON	194	Chapter Seven?
HERMIONE	195	Shhh! Filch is ••• gone.
HERMIONE	196	It was locked.
HERMIONE	198	"You don't use your eyes, do you? Didn't you see what it was standing on?"
RON	209	WINGARDIOLME VIOSA!
RON	222	·- Not on its· own. Trolls are really stupid.··.
RON	223	Smells like Fred' .s socks. Only ••. worse.
RON	228	"Mind you, we did s·ave her from a full grown mountain troll"
HERMIONE	230	But why would anyone go near that dog? 
RON	232	~:But what's safer than Gringotts?
HERMIONE	234	"Well, whatever it is, it must be really valuable,"
HERMIONE	236	"Bit early.for mail, isn't it?"
RON	238	"That's not a broomstick, Harry. That's a Nimbus Two Thousand."
RON	247	Maybe something happened to it when Flint
RON	249	Jinxing the broom? What do we do?
HERMIONE	250	"Leave it to me. As Hermione dashes off, Ron turns the binoculars back to the sky. Harry hangs from the broom with two hands while Fred hovers nearby. George circles about ten feet below."
RON	254	"Come on, Hermione."
HERMIONE	256	"Nothing in the Quiddi tch rulebook discriminates against catching the Snitch in your mouth. Or any other place for that matter. In fact, in a game played in ·Greece in the late seventeenth century--"
RON	262	Fluffy?
HERMIONE	263	That thi.ng has a name? 
HERMIONE	266	"Hogwarts teacher or not, I know a jinx when I see one, Hagrid. I've read all"
RON	272	Queen to p~wn six.
HERMIONE	273	Oh my god! That's b~rbaric!
RON	274	That's chess. I see you're packed . .i
RON	275	We have looked. A hundred times.
RON	277	What'd you expect? In your hand's from
RON	286	"That's you, Harry. "
RON	287	• Me. Only I'rn .•. Head Boy! And I'm holding the Quidditch Cup and ••. bloody hell ••• I'rn
RON	289	Want to go visit Hagrid?
RON	291	"Harry, I know what you're thinking. But 0, don't. There's something not right about that mirror. ~~)"
RON	299	This is light?
HERMIONE	300	Of course! Here it is!
HERMIONE	301	"Oh, honestly, don't you two read?"
RON	315	It's bad. *
RON	317	... Norwegian Ridgeback.
RON	320	"Why bother? Even with Malfoy losing 0 points, Slytherin's a lock for the House Cup. And look. Malfoy knows it."
RON	337	"But if .he comes back, you don't think he'd try to ••• ~11 you? Do you?"
RON	338	And to· ~ I_'ve been worrying .about my Potions final. · ·RERMiom: No. We're forgetting one thing. Who's the one.wizardVoldemort always feared? ·
HERMIONE	339	I'd always heard Hogwarts' end of year exams were frightful. But I found that rather enjoyable. Weren't you stunned not to be asked about Elfric the Eager? •
RON	340	"I'm stunned my head didn't explode. Alright there, Harry?"
HERMIONE	343	Harry?
HERMIONE	352	And with Dumbledore gone •••
HERMIONE	353	We were just •••
SNAPE	354	You want to be careful. People will think you're~ •• up to something. 
HERMIONE	355	What do we do now?
HERMIONE	359	"Neville. I'm really, really sorry about this."
RON	360	"You're a little scary sometimes, you know that'? Brilliant. But scary."
RON	363	Don't be . stupid_.
HERMIONE	364	We're coming.
RON	367	Yuck! What's this ruddy stuff--
RON	368	That was ••• cool •
RON	370	"Lucky this plant thing's here, really."
HERMIONE	371	Stop moving! Both of you! This is Devil's * snare! You have to relax.
RON	373	Kill us faster? Oh now I can relax.
HERMIONE	374	Curious. I '·ve never seen birds like these •••
RON	376	Alohomora!
HERMIONE	377	What's wrong with its wing?
HERMIONE	378	Barry?
RON	380	"Oh, go on, Barry. If Snape could catch it on that old CleanSweep, you can. It's not for nothing you're the youngest Seeker in a Century. ·"
RON	383	"This is no graveyard ••• · Ron takes an unlit torch from the wall, touches it to the"
RON	385	"It's obvious, isn't it?We've got to play our way across the room. Excuse * me ••• are we meant to join you? *"
RON	386	We play. 
HERMIONE	406	"r,, Never better. * -~.~~)"
RON	407	D'you think Dumbledore meant for it all to happen? And for you to do it? Sending you your father's cloak and all?
HERMIONE	408	"Well, if he did--I mean--that's terrible. You could have been killed. Come to think * of it, I could've been killed .•• · *"
RON	413	You'd think saving the bloody school from a Dark Lord would count for something. ....._. . .... Shooting Draft White 11/09/00 _.1 14. -. 0
RON	417	"Come on now, Harry."
HERMIONE	419	"Feels· strangi, doesn'_t it? To be going '* .home. _7 ~ A• .! ..."
