character	speech_id	text
VOLDEMORT	5	NO! The boy is everything, it cannot
VOLDEMORT	7	Good. First, gather our old comrades.
VOLDEMORT	8	Nagini tells me the old caretaker is standing outside the door.
VOLDEMORT	9	Step aside so I can give our guest a proper greeting.  A loud spell is cast and Harry wakes up in a flash of panic.
HERMIONE	10	Harry!
HERMIONE	11	Are you alright?
HERMIONE	13	Just now. You?
HERMIONE	15	Wake up. Wake up Ronald!
RON	16	Bloody hell.
HERMIONE	17	Honestly. Get dressed, and don't go back to sleep. Come on Ron! Your mother says breakfast's ready.
RON	20	Don't know. Hey Dad! Where are we going?
HERMIONE	39	What??
RON	52	Blimey Dad, how far up ARE we?
RON	63	There's no one like Krum. He's like
RON	69	Been looking for you for ages. Thought we lost you.
RON	87	Packet of drewbals and a liquorice wand.
RON	88	On second thought, just the drewbals.
RON	90	Just the drewbals, thanks.
HERMIONE	95	This is horrible, how can the ministry not know who conjured it. Isn't there any security or?
RON	96	Loads according to Dad, that's what
HERMIONE	97	It's hurting again isn't it, your scar.
HERMIONE	99	You know Sirius will want to hear about this. What you saw at the world cup, and the dream.
RON	116	Bloody hell, it's Mad-Eye Moody.
HERMIONE	124	Three sir.  MAD-EYE
RON	126	Yes...  MAD-EYE Give us a curse.
RON	127	Well, my dad did tell me about one... The imperious curse.  MAD-EYE Ahhh yes, your father would know all about that. Gave the ministry quite a bit of grief a few years ago. Perhaps this will show you why.  Mad-Eye pops open a jar with a spider in it.  MAD-EYE Hello. What a little beauty.
HERMIONE	129	Stop it! Can't you see it's bothering
HERMIONE	130	There's a reason those curses are unforgivable,
HERMIONE	131	Neville?
RON	132	Eternal glory, be brilliant wouldn't it? In three years from now we'll be
HERMIONE	136	It's not going to work.
HERMIONE	138	You see this? This is an age line. Dumbledore drew it himself.
HERMIONE	140	So a genius like Dumbledore couldn't possibly be fooled by something pathetically dimwitted such as an age potion.
HERMIONE	151	Go on Harry. Harry for goodness sake.
RON	168	How did you do it?
RON	169	Never mind. Doesn't matter. You could have let your best friend know though.
RON	171	You know bloody well what.
RON	173	Yeah that's me, Ron Weasley... Harry Potter's stupid friend.
RON	175	Piss off.
RON	210	Who you talking to?
RON	212	I heard voices.
RON	214	You're probably just practicing for your next interview I expect.  Ron leaves. Harry goes to the fire again but Sirius is gone. The newspaper in the fire has the headline "TEENAGE TRAGEDY".
HERMIONE	220	Ronald would like me to tell you that
HERMIONE	222	Uhhh...
HERMIONE	223	Dean was told by Parvati that... Please don't ask me say it again. Hagrid's looking for you.
HERMIONE	225	I'm NOT an owl!
RON	252	You think so?
RON	254	Anything else?
RON	256	Fine.
HERMIONE	268	Pssst! Harry? Is that you?
HERMIONE	270	How are you feeling? OK? The key is to concentrate. After that you just have to...
HERMIONE	276	Oh um.. Sorry I'll just go.
HERMIONE	287	Your wand harry! Your wand!
RON	298	I reckon you'd have to be barking mad to put your own name in the goblet of fire.
RON	300	Wasn't just me who thought you'd done it. Everyone was saying it behind your back.
RON	302	At least I warned you about the dragons.
RON	303	Oh no no, I did. Don't you remember? I told Hermione to tell you that Seamus told me that Parvati told Dean that
RON	305	Yeah it is isn't it. Suppose I was a bit distraught.
HERMIONE	306	Boys.
RON	308	Thank you Nigel.
RON	309	Not now Nigel. Later. Go on.
RON	310	I told him I'd get him Harry's autograph. Oh look mum's sent me something. Mum sent me a dress??
RON	313	What are you on about?
HERMIONE	314	They're not for Ginny they're for you! Dress robes.
RON	315	Dress robes? for what?
RON	320	Where?
RON	327	Blimey Harry, you slayed dragons. If you can't get a date who can?
RON	332	This is mad. At this rate we'll be the only ones in our year without dates.
RON	333	Well, us and Neville!
HERMIONE	334	It might interest you to know that Neville's already got someone.
RON	335	Now I'm really depressed.
RON	336	Well Hermione, you're a girl.
HERMIONE	337	Oh well spotted.
RON	338	Come on. It's one thing for a bloke to show up alone. For a girl it's just sad.
HERMIONE	339	I won't be going alone because believe it or not someone's asked me. And I said yes.
RON	340	Bloody hell.
