character	speech_id	text
THE OF	1	screenplay by STEVEN KLOVES based on the novel by
J.K. ROWLING	2	No portion of this script may be performed, reproduced, or used by any means, or quoted or published in any medium without the prior written consent of Warner Bros. WARNER BROS. © 2002 4000 Warner Boulevard WARNER BROS. Burbank, California 91522 All Rights Reserved
HARRY	3	I can't, Hedwig. I'm not allowed to use magic outside of school. Besides, if Uncle Vernon -- At the sound of the name, HEDWIG SQUAWKS again, LOUDER.
HARRY	4	Now you've done it.
UNCLE VERNON	5	I warned you. If you can't control that bloody bird, it'll have to go.
HARRY	6	She's bored. If I could just let
HARRY	7	But I haven't gotten any messages. From any of my friends. Not one. All summer.
DUDLEY	8	Who'd want to be friends with you?
UNCLE VERNON	9	I should think you'd be more grateful. We raise you since you were a baby, give you food off our table, even let you have Dudley's second bedroom... purely out of
DUDLEY	10	I thought he got the second bedroom because Mum was afraid he'd turn us into dung beetles if you put him back in the cupboard under the stairs.
AUNT PETUNIA	11	Not yet, popkin. That's for when
UNCLE VERNON	12	Which should be any moment. Now. Let's run through our schedule one more time. Petunia, when the Masons get here, you will be --
AUNT PETUNIA	13	In the lounge, waiting to welcome them graciously to our home.
UNCLE VERNON	14	Good. And Dudley?
DUDLEY	15	I'll be waiting to open the door.
UNCLE VERNON	16	Excellent.
HARRY	17	I'll be in my bedroom, making no noise and pretending I don't exist.
UNCLE VERNON	18	Too right you will. With any luck, this could well be the day I make the biggest deal of my career. DOORBELL RINGS. Instantly, Uncle Vernon shoves Harry out of the kitchen and into the hallway.
UNCLE VERNON	19	Upstairs! Hurry! 5 OMITTED 5
HARRY	20	What... Who are you?
DOBBY	21	Dobby, sir. Dobby the house elf.
HARRY	22	I see. Not to be rude or anything, but this isn't a great time for me to have a house-elf in my bedroom.
DOBBY	23	Oh, yes, sir, Dobby understands. It's just that, Dobby has come to tell you... it is difficult, sir... Dobby wonders where to begin.
HARRY	24	Why don't you sit down?
DOBBY	25	S-s-sit down? Suddenly Dobby BURSTS INTO TEARS. LOUD TEARS. Harry panics.
HARRY	26	Shhhh! I'm sorry. I didn't mean to offend you or anything --
DOBBY	27	Offend Dobby! Dobby has heard of your greatness, sir, but never has
HARRY	28	You can't have met many decent wizards then.
DOBBY	29	Bad Dobby! Bad Dobby!
UNCLE VERNON	30	Don't mind that. It's just the... cat.
DUDLEY	31	Cat? What cat?
UNCLE VERNON	32	Our cat, tiger.
HARRY	33	Are you... all right?
DOBBY	34	Dobby had to punish himself, sir.
