character	speech_id	text
DUMBLEDORE	1	I should have known you'd be here,
PROFESSOR MCGONAGALL	2	Are the rumors true, Albus?
PROFESSOR MCGONAGALL	3	And the boy?
PROFESSOR MCGONAGALL	4	You think it...wise...to trust
DUMBLEDORE	5	I would trust Hagrid with my life, Professor. A LOW RUMBLE disturbs the skies. Dumbledore and McGonagall look up and—suddenly—a HUGE MOTORCYCLE plummets through the clouds, hits the ground with a THUNDEROUS ROAR. As the SMOKE
HAGRID	6	Ev'ning, professor Dumbledore, sir.
DUMBLEDORE	7	No problems, I take it, Hagrid?
HAGRID	8	No sir. Little tyke fell ter sleep as we was flyin' o'er Bristol. Hagrid steps forward and Dumbledore takes the bundle, turns toward the doorstep.
PROFESSOR MCGONAGALL	9	Albus, do you really think it best
PROFESSOR MCGONAGALL	10	But this boy will be famous. There won't be a child in our world who
DUMBLEDORE	11	Exactly. It would be enough to turn
DUMBLEDORE	12	There, there, Hagrid. It's not eally goodbye, after all.
DUMBLEDORE	13	Good luck, Harry Potter. The CAMERA DOLLIES forward, toward the swaddled baby. A CUT, still fresh, gleams on the baby's forehead. It is in the shape of a BOLT of LIGHTNING. SMASH CUT TO TEN YEARS LATER. 3.
AUNT PETUNIA	14	There's the birthday boy! Don't you look smart for your trip to the zoo.
HARRY	15	Yes, Aunt Petunia.
UNCLE VERNON	16	Bring my coffee, boy.
HARRY	17	Yes, Uncle Vernon.
DUDLEY	18	How many are there?
DUDLEY	19	Thirty-six. But last year...last year I had thirty-seven...
UNCLE VERNON	20	Well now, son, some of these are quite a bit bigger than last year--
DUDLEY	21	I DON'T CARE HOW BIG THEY ARE!
AUNT PETUNIA	22	Now, now, here's what we'll do. Today, when we're out, we'll buy you two more presents. How's that, popkin?
DUDLEY	23	So then I'll have...I'll have...
HARRY	24	Thirty-eight, popkin.
AUNT PETUNIA	25	You just mind that bacon!
HARRY	26	Yes, Aunt Petunia. As Dudley tears open a BOX of LEAD SOLDIERS, Uncle Vernon
UNCLE VERNON	27	Want your money's worth, don't you, tiger. Well, look there. Aunt Marge's sent you the Fourth Battalion?
DUDLEY	28	This one's lost its head.
UNCLE VERNON	29	5. Well now, son. Remember, we talked about this. They're not meant to move... As Dudleyrtosses the damaged soldier aside, Harry studies it closely, then...Aunt Petunia HANGS UP the phone, turns.
UNCLE VERNON	30	We could phone Yvonne.
HARRY	31	You could just leave me here.
UNCLE VERNON	32	And come back to find the house in ruins?
DUDLEY	33	I...Don't...Want...Him...To...Come!
DUDLEY	34	Three?
AUNT PETUNIA	35	As many as you want, sweetums.
UNCLE VERNON	36	I'm warning you now, boy. Any funny business, any at all, and you'll have no meals for a week... 6.
DUDLEY	37	Make it move.
HARRY	38	He's asleep.
DUDLEY	39	He's boring. Dudley waddles away and the others follow, all but Harry, who steps forward and rubs Dudley's noseprint from the glass.
HARRY	40	Can you hear me? The snake cocks its head and...winks.
