character	speech_id	text
THRU THRU	1	5 5 6 A BLAZING SUN 6 TILT DOWN to a blistering summer sky. A TITLE CARD appears:
HARRY POTTER	2	and
HARRY	3	Hey "Big D." Beat up another ten year old?
DUDLEY	4	This one deserved it. 2.
HARRY	5	Four against one. Very brave.
DUDLEY	6	Yeah, well you're one to talk. Moaning in your sleep every night. At least I'm not afraid of my pillow.
HARRY	7	What are you talking about?
DUDLEY	8	"Don't kill Cedric! Don't kill Cedric!" Who's Cedric--your boyfriend?
DUDLEY	9	"Dad! Help me, Dad!"
HARRY	10	Shut up. THUNDER CRACKS. The other boys peer uneasily at the sky.
DUDLEY	11	He's going to kill me, Mum!
HARRY	12	Shut up Dudley, I'm warning you--!
DUDLEY	13	Wh-what are you doing?
HARRY	14	I'm not doing anything.
HARRY	15	Oh no.
HARRY	16	Lumos!
HARRY	17	Accio!
HARRY	18	EXPECTO PATRONUM!
MRS. FIGG	19	Don't put away your wand, boy!
MRS. FIGG	20	Dementors, in Little Whinging! What's next, Giants trodding the M4? The whole world's gone topsy- turvy...!
HARRY	21	I don't understand. How do you know about--?
MRS. FIGG	22	After You-Know-Who killed that poor Diggory boy last year did you expect him to let you wander around on your own? Good Lord, boy, they told me you were intelligent.
MRS. FIGG	23	Now: get inside and stay there. I expect someone will be in touch soon, but whatever happens: don't leave the house!
AUNT PETUNIA	24	Diddykins? Is that...
AUNT PETUNIA	25	DIDDY! VERNON, come quick! VERNON DURSLEY, standing in front of the open freezer eating from a carton of ice cream, looks up vaguely.
AUNT PETUNIA	26	We have to take him to Hospital!
UNCLE VERNON	27	Who did this to you, boy? Dudley's shaking finger rises at Harry. Vernon approaches, brandishing the dripping spoon.
UNCLE VERNON	28	Happy are we now?! You've finally
AUNT PETUNIA	29	Don't say that, Vernon! 6.
MAFALDA HOPKIRK	30	Dear Mr. Potter: The Ministry has received intelligence that at twenty-three minutes past six this evening you performed the Patronus Charm in the presence of a Muggle. As a clear violation of the Decree for the Reasonable Restriction of Underage Sorcery, you are hereby expelled from Hogwarts School of Witchcraft and Wizardry. Hoping that you are well, Mafalda Hopkirk.
UNCLE VERNON	31	Justice. In the b.g., Dudley again heaves into the plant. 13 OMITTED 13
HARRY	32	Sorry, Hedwig... Harry turns...bends down to find the moving PHOTO of
HARRY	33	Cedric--!
MADEYE MOODY	34	Tonks--for God's sake...
TONKS	35	Very clean, these Muggles. Bit unnatural...
TONKS	36	Oh, this is better...
MADEYE MOODY	37	Rescuing you, of course.
HARRY	38	But where are we going? If I've been expelled from Hogwarts--
MADEYE MOODY	39	You haven't been--not yet, anyway. Kingsley, you take point.
HARRY	40	But--the letter said--
SHACKLEBOLT	41	--pending a formal hearing.
TONKS	42	Don't worry, Harry. We'll explain everything when we get back to Headquarters--
MADEYE MOODY	43	Shhh! Not here, Nymphadora.
TONKS	44	Don't. Call me. Nymphadora.
TONKS	45	Stop being so cheerful, Madeye-- he'll think we're not taking this seriously...
MADEYE MOODY	46	Get a move on, sonny!
BACK TO SCENE	47	--the facade finishes expanding into place with a gentle POP...as the STEREO THUDS on, unperturbed.
MRS. WEASLEY	48	Thank heavens you're all right...
MRS. WEASLEY	49	No time to explain. Upstairs, first door on the left!
KREACHER	50	...mudbloods and werewolves and traitors and thieves...if my poor Mistress knew the scum they've let
HERMIONE	51	HARRY--!
HERMIONE	52	Are you all right? We overheard
HERMIONE	53	--and this hearing at the Ministry--it's just outrageous!
HARRY	54	Yeah, there's a lot of that going around. What is this place anyway?
RON	55	It's Headquarters...
HERMIONE	56	...of the Order of the Phoenix. It's a secret society; Dumbledore
HARRY	57	Couldn't have put any of this in a letter I suppose. I've gone all summer without any bloody news!
RON	58	We wanted to write mate, really we did--only--
HARRY	59	Only what?
HERMIONE	60	Only Dumbledore made us swear not to tell you anything.
FRED	61	Harry. 13.
GEORGE	62	Thought we heard your dulcet tones.
FRED	63	Don't bottle up your anger, Harry; let it out!
GEORGE	64	Anyway if you're all done shouting--
FRED	65	--want to hear something really interesting...?
HARRY	66	Snape's part of the Order? 14.
MRS. WEASLEY	67	Well! We'll be eating down in the kitchen-- Without warning Fred and George APPARATE--CRACK!--on
MRS. WEASLEY	68	JUST BECAUSE YOU'RE ALLOWED TO USE MAGIC NOW DOESN'T MEAN YOU HAVE TO WHIP YOUR WANDS OUT FOR EVERYTHING!
ARTHUR WEASLEY	69	You're sure you're all right, Harry? Gave us all quite a turn.
HARRY	70	Sirius.
ARTHUR WEASLEY	71	...this is most unusual...it seems Minister Fudge has called your hearing before the entire Wizengamot...
SIRIUS	72	It's a set-up. A chance to publicly discredit Harry.
LUPIN	73	I'm afraid you may be right, Padfoot...
HARRY	74	I don't understand. What does the Ministry of Magic have against me? Silence. Tonks and Ginny frown; Ron and Hermione exchange an apprehensive look. Sirius hesitates...
HARRY	75	But...why?
LUPIN	76	Exactly the point. Fudge isn't in
HARRY	77	So what's Voldemort been up to-- seeing as everyone's so
SIRIUS	78	We think he wants to build up his
SIRIUS	79	We think Voldemort may be after
